"year","ctr_code","RGN21NM","geography_code","geography_name","sex_name","age_code","ex","e_dagger","h","QALE"
2019,"E","East Midlands","E06000015","Derby","Female",0,81.8257566933557,10.5414488374822,0.128828003106487,66.0469962164886
2019,"E","East Midlands","E06000016","Leicester","Female",0,81.7428514595597,10.0319764228395,0.122726039570599,66.008820876164
2019,"E","East Midlands","E06000017","Rutland","Female",0,86.1552558547527,8.90672610246063,0.103379950695942,69.3702429874997
2019,"E","East Midlands","E06000018","Nottingham","Female",0,81.1910146507219,10.6607111969238,0.131304076476755,65.5654818278744
2019,"E","East Midlands","E06000061","North Northamptonshire","Female",0,82.7044553964445,9.68671496226686,0.117124463438318,66.7212200514828
2019,"E","East Midlands","E06000062","West Northamptonshire","Female",0,83.0918495569737,10.0452544685976,0.120893379099834,67.0090418712814
2019,"E","East Midlands","E07000032","Amber Valley","Female",0,83.6266732676824,9.51738587541589,0.113808017269221,67.4421153741388
2019,"E","East Midlands","E07000033","Bolsover","Female",0,82.7540482991675,9.16595209336461,0.110761373996211,66.7974188038968
2019,"E","East Midlands","E07000034","Chesterfield","Female",0,82.1086198166263,10.0540247038233,0.122447859022317,66.2821636537021
2019,"E","East Midlands","E07000035","Derbyshire Dales","Female",0,85.7368190994389,8.43725178909619,0.0984087335839989,69.0523554614085
2019,"E","East Midlands","E07000036","Erewash","Female",0,82.8926664532428,10.1680319714797,0.122665036685907,66.8576868861201
2019,"E","East Midlands","E07000037","High Peak","Female",0,83.411382543793,9.05373805379311,0.108543196116426,67.2912317718375
2019,"E","East Midlands","E07000038","North East Derbyshire","Female",0,83.4010477512323,8.98265860625482,0.107704385597747,67.2803341829775
2019,"E","East Midlands","E07000039","South Derbyshire","Female",0,83.6323925589295,9.71001208586,0.116103483216961,67.4233709417347
2019,"E","East Midlands","E07000129","Blaby","Female",0,85.7004661049593,9.01196415055041,0.105156536015957,69.0328415189387
2019,"E","East Midlands","E07000130","Charnwood","Female",0,84.1565110801325,9.88405464687293,0.117448484021177,67.8261670321976
2019,"E","East Midlands","E07000131","Harborough","Female",0,85.3302348649894,8.82367312063693,0.103406174078835,68.7411999934197
2019,"E","East Midlands","E07000132","Hinckley and Bosworth","Female",0,83.8671974611396,9.54926583982727,0.113861749634021,67.6068801570581
2019,"E","East Midlands","E07000133","Melton","Female",0,85.0158934781805,9.06780253882482,0.106660086341998,68.5012704899663
2019,"E","East Midlands","E07000134","North West Leicestershire","Female",0,84.0702441774136,9.42205615762219,0.112073614746959,67.7849962903551
2019,"E","East Midlands","E07000135","Oadby and Wigston","Female",0,84.886196988511,8.917312512154,0.105050206376437,68.4187914891359
2019,"E","East Midlands","E07000136","Boston","Female",0,83.0609309010269,9.61767753218467,0.115790630177801,67.0107167539465
2019,"E","East Midlands","E07000137","East Lindsey","Female",0,82.0881978643428,9.9881071263599,0.121675312483605,66.262843190925
2019,"E","East Midlands","E07000138","Lincoln","Female",0,81.2044152592044,10.6800582894805,0.131520659996008,65.5744059767019
2019,"E","East Midlands","E07000139","North Kesteven","Female",0,83.9005749795497,9.06423629146419,0.108035449026107,67.6635276079657
2019,"E","East Midlands","E07000140","South Holland","Female",0,83.8406534845119,9.54488897199875,0.113845593698313,67.6030320293964
2019,"E","East Midlands","E07000141","South Kesteven","Female",0,84.5575000851943,8.92968113452975,0.105604838429859,68.1547144927387
2019,"E","East Midlands","E07000142","West Lindsey","Female",0,84.3755763693416,9.14415792265412,0.108374464698492,68.018996413931
2019,"E","East Midlands","E07000170","Ashfield","Female",0,81.8503581308913,10.3388148094608,0.12631361725904,66.0650823572178
2019,"E","East Midlands","E07000171","Bassetlaw","Female",0,82.6811063751369,9.74570559123878,0.117871010905696,66.7177373906679
2019,"E","East Midlands","E07000172","Broxtowe","Female",0,83.1796832873109,9.63362068312839,0.115816991630672,67.0947437110268
2019,"E","East Midlands","E07000173","Gedling","Female",0,83.5797491613399,8.95445449813177,0.107136651975903,67.4089739955149
2019,"E","East Midlands","E07000174","Mansfield","Female",0,81.4965273785562,10.1408301014776,0.124432665141336,65.7993931387327
2019,"E","East Midlands","E07000175","Newark and Sherwood","Female",0,83.0711309163531,9.7965654187214,0.117929842902775,66.9962990238414
2019,"E","East Midlands","E07000176","Rushcliffe","Female",0,85.2231730566437,9.1096403442783,0.106891588491121,68.6514726508226
2019,"E","East Midlands","E06000015","Derby","Male",0,78.0262474368321,11.5419518186372,0.147923964022251,65.8221146402128
2019,"E","East Midlands","E06000016","Leicester","Male",0,77.1169144542821,11.721653432118,0.151998475497448,65.1105678397374
2019,"E","East Midlands","E06000017","Rutland","Male",0,84.1776783543199,8.7680786962588,0.104161564771985,70.696662725034
2019,"E","East Midlands","E06000018","Nottingham","Male",0,76.8288705583602,11.6331883635236,0.151416886373292,64.8915128919808
2019,"E","East Midlands","E06000061","North Northamptonshire","Male",0,79.4605540720925,10.6596502299919,0.134150212699507,66.9723211371998
2019,"E","East Midlands","E06000062","West Northamptonshire","Male",0,80.0383699202775,10.9434820701679,0.136727947871354,67.4100139962537
2019,"E","East Midlands","E07000032","Amber Valley","Male",0,80.1903018142412,10.112585796941,0.12610734176268,67.551604224405
2019,"E","East Midlands","E07000033","Bolsover","Male",0,78.6352987754434,10.6861102393272,0.135894571594917,66.3409285007389
2019,"E","East Midlands","E07000034","Chesterfield","Male",0,78.2733784388193,11.4014535650551,0.145661958030428,66.0160949507458
2019,"E","East Midlands","E07000035","Derbyshire Dales","Male",0,82.4403529201209,9.48493688384582,0.11505211401795,69.3337760232803
