"year","ctr_code","RGN21NM","geography_code","geography_name","sex_name","age_code","LE","QALE"
2019,"E","East of England","E06000031","Peterborough","Female",0,82.7046295510862,67.2323171814217
2019,"E","East of England","E06000032","Luton","Female",0,82.4982878106455,67.0744864411895
2019,"E","East of England","E06000033","Southend-on-Sea","Female",0,83.1064701356909,67.5611893088277
2019,"E","East of England","E06000034","Thurrock","Female",0,82.7701039085258,67.3119862950546
2019,"E","East of England","E06000055","Bedford","Female",0,83.3812883621537,67.7440644550081
2019,"E","East of England","E06000056","Central Bedfordshire","Female",0,84.3328545283554,68.4688440483165
2019,"E","East of England","E07000008","Cambridge","Female",0,85.0644944942418,69.0375085569346
2019,"E","East of England","E07000009","East Cambridgeshire","Female",0,85.4809969503224,69.3536950209165
2019,"E","East of England","E07000010","Fenland","Female",0,82.2234772727159,66.8531185137995
2019,"E","East of England","E07000011","Huntingdonshire","Female",0,84.6135518245574,68.704223755765
2019,"E","East of England","E07000012","South Cambridgeshire","Female",0,86.2133904705922,69.8774801148583
2019,"E","East of England","E07000066","Basildon","Female",0,83.3360460278303,67.7183582508998
2019,"E","East of England","E07000067","Braintree","Female",0,83.6884269470803,68.0204136442143
2019,"E","East of England","E07000068","Brentwood","Female",0,85.3395637550838,69.2548478172951
2019,"E","East of England","E07000069","Castle Point","Female",0,84.102139227476,68.3121752643157
2019,"E","East of England","E07000070","Chelmsford","Female",0,84.867090181022,68.8986295383505
2019,"E","East of England","E07000071","Colchester","Female",0,84.0248632333778,68.2430323543938
2019,"E","East of England","E07000072","Epping Forest","Female",0,84.346174789614,68.518488531592
2019,"E","East of England","E07000073","Harlow","Female",0,83.1236448790185,67.5810964447354
2019,"E","East of England","E07000074","Maldon","Female",0,84.4213018256157,68.5796953855158
2019,"E","East of England","E07000075","Rochford","Female",0,84.6448570351286,68.6996373269138
2019,"E","East of England","E07000076","Tendring","Female",0,82.4275835507048,67.0206103895137
2019,"E","East of England","E07000077","Uttlesford","Female",0,85.7213962302519,69.5326282989609
2019,"E","East of England","E07000095","Broxbourne","Female",0,84.4689049017687,68.5870104022746
2019,"E","East of England","E07000096","Dacorum","Female",0,84.5089427001108,68.6238350938034
2019,"E","East of England","E07000098","Hertsmere","Female",0,85.0892068465433,69.0715236378341
2019,"E","East of England","E07000099","North Hertfordshire","Female",0,84.5705275977641,68.6740506250812
2019,"E","East of England","E07000102","Three Rivers","Female",0,84.9321473339021,68.9692386662566
2019,"E","East of England","E07000103","Watford","Female",0,83.2433193600298,67.6960326976541
2019,"E","East of England","E07000143","Breckland","Female",0,84.0196842416766,68.2391379512483
2019,"E","East of England","E07000144","Broadland","Female",0,85.6520338468025,69.5037021081808
2019,"E","East of England","E07000145","Great Yarmouth","Female",0,83.4741351835725,67.8377097248908
2019,"E","East of England","E07000146","King's Lynn and West Norfolk","Female",0,83.4046501621183,67.7576920606257
2019,"E","East of England","E07000147","North Norfolk","Female",0,85.3797141285917,69.2709658507518
2019,"E","East of England","E07000148","Norwich","Female",0,83.0008293196221,67.4448391089582
2019,"E","East of England","E07000149","South Norfolk","Female",0,85.4143002921182,69.2917549208781
2019,"E","East of England","E07000200","Babergh","Female",0,85.8260456627499,69.6268639644675
2019,"E","East of England","E07000202","Ipswich","Female",0,83.2250318895224,67.6418713009484
2019,"E","East of England","E07000203","Mid Suffolk","Female",0,85.7241224723925,69.5402572320941
2019,"E","East of England","E07000240","St Albans","Female",0,85.6917162279515,69.5256230165547
2019,"E","East of England","E07000241","Welwyn Hatfield","Female",0,84.0983196326832,68.3061439200137
2019,"E","East of England","E07000242","East Hertfordshire","Female",0,85.4404055770718,69.3315581393038
2019,"E","East of England","E07000243","Stevenage","Female",0,83.5697231927326,67.9000631646233
2019,"E","East of England","E07000244","East Suffolk","Female",0,84.3370625907848,68.4693355823097
2019,"E","East of England","E07000245","West Suffolk","Female",0,84.5740376180062,68.6539270804328
2019,"E","East of England","E06000031","Peterborough","Male",0,79.0717083486887,67.1166563153863
2019,"E","East of England","E06000032","Luton","Male",0,78.407073343053,66.6078535419446
2019,"E","East of England","E06000033","Southend-on-Sea","Male",0,78.9166858372821,67.0316768317963
