"geography_name","sex_name","age_code","age_name","year","N","source","mean_pcs","mean_mcs","mean_pcs_wt","mean_mcs_wt","eq5d_util_lf_6v_wt"
"East Midlands","Male",34,"30-34",2019,74,"US",52.9445945945946,48.3387837837838,52.4409991686925,48.5145769913618,0.861080341767549
"East Midlands","Male",39,"35-39",2019,47,"US",53.3648936170213,46.8004255319149,52.6673065443079,47.6484897885953,0.856807001321797
"East Midlands","Male",44,"40-44",2019,70,"US",50.762,47.2408571428572,50.8088847845967,45.5579685293191,0.812983681033709
"East Midlands","Male",49,"45-49",2019,99,"US",51.3225252525253,49.0284848484849,51.2968011007437,48.8435524670866,0.848712952407468
"East Midlands","Male",54,"50-54",2019,99,"US",50.2706060606061,49.5507070707071,50.4610805417794,50.7215282117739,0.853643575600481
"East Midlands","Male",59,"55-59",2019,103,"US",48.4296116504854,49.2670873786408,48.4411952511961,48.7926577319227,0.813034627385796
"East Midlands","Male",64,"60-64",2019,90,"US",47.8014444444445,50.2938888888889,46.405496208768,48.9517490974649,0.790879119858418
"East Midlands","Male",69,"65-69",2019,86,"US",47.2881395348837,52.2195348837209,48.3407441075967,52.5920638793252,0.843401365484101
"East Midlands","Male",74,"70-74",2019,100,"US",44.8094,52.7111,44.1675745905136,52.4392104325461,0.796518834354228
"East Midlands","Male",79,"75-79",2019,44,"US",43.3531818181818,50.7868181818182,45.1818025082382,51.3402501150263,0.798224564776841
"East Midlands","Male",84,"80-84",2019,31,"US",40.0448387096774,49.5990322580645,41.7865652927521,49.448554069924,0.743773197472221
"East Midlands","Male",85,"85_plus",2019,16,"US",41.07375,52.4125,40.2848696557835,52.0029681711953,0.75046935843041
"East of England","Female",20,"under_20",2019,77,"US",53.9258441558442,44.8396103896104,52.3426246907389,45.0653341470598,0.829073631397219
"East of England","Female",24,"20-24",2019,75,"US",54.3722666666667,43.3632,55.2111531802803,42.5724794546833,0.848169217367379
"East of England","Female",29,"25-29",2019,81,"US",53.4508641975309,43.8479012345679,55.6559918081086,43.0797896468367,0.860249013347738
