"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,
East Lothian  ,"1,062 ",5 ,-,2 ,1 ,6 ,1 ,2 ,4 ,13 ,7 ,10 ,30 ,36 ,52 ,81 ,132 ,163 ,187 ,184 ,146 ,East Lothian  ,456,2,-,2,1,3,1,-,1,10,4,8,18,21,28,41,70,73,81,57,35,East Lothian  ,606,3,-,-,-,3,-,2,3,3,3,2,12,15,24,40,62,90,106,127,111,,,,,
East Renfrewshire,876 ,8 ,-,1 ,-,1 ,4 ,2 ,6 ,4 ,6 ,16 ,28 ,38 ,49 ,80 ,94 ,129 ,130 ,147 ,133 ,East Renfrewshire,415,7,-,-,-,1,1,1,4,2,3,14,18,18,32,46,52,70,61,55,30,East Renfrewshire,461,1,-,1,-,-,3,1,2,2,3,2,10,20,17,34,42,59,69,92,103,,,,,
Falkirk ,"1,630 ",6 ,-,2 ,1 ,4 ,6 ,4 ,6 ,14 ,20 ,27 ,50 ,68 ,112 ,159 ,205 ,283 ,266 ,235 ,162 ,Falkirk ,787,3,-,-,1,2,6,4,4,6,13,12,37,41,72,98,116,136,113,87,36,Falkirk ,843,3,-,2,-,2,-,-,2,8,7,15,13,27,40,61,89,147,153,148,126,,,,,
Fife,"3,809 ",12 ,2 ,1 ,3 ,10 ,15 ,23 ,26 ,38 ,47 ,57 ,112 ,144 ,201 ,314 ,495 ,656 ,644 ,556 ,453 ,Fife,"1,810",7,2,1,2,6,14,17,16,22,29,37,61,93,124,200,242,333,285,204,115,Fife,"1,999",5,-,-,1,4,1,6,10,16,18,20,51,51,77,114,253,323,359,352,338,,,,,
Glasgow City,"7,797 ",58 ,7 ,4 ,3 ,31 ,47 ,72 ,79 ,100 ,140 ,157 ,263 ,372 ,585 ,818 ,"1,048 ","1,241 ","1,084 ","1,004 ",684 ,Glasgow City,"3,747",41,2,1,2,26,30,54,62,66,89,99,175,235,360,457,573,615,391,328,141,Glasgow City,"4,050",17,5,3,1,5,17,18,17,34,51,58,88,137,225,361,475,626,693,676,543,,,,,
Highland,"2,410 ",10 ,4 ,-,2 ,10 ,12 ,9 ,19 ,31 ,41 ,50 ,75 ,102 ,171 ,209 ,325 ,381 ,320 ,331 ,308 ,Highland,"1,199",6,2,-,1,9,11,8,14,19,31,30,47,65,111,126,189,202,146,111,71,Highland,"1,211",4,2,-,1,1,1,1,5,12,10,20,28,37,60,83,136,179,174,220,237,,,,,
Inverclyde,"1,164 ",2 ,2 ,2 ,1 ,1 ,10 ,5 ,6 ,4 ,16 ,31 ,45 ,43 ,92 ,121 ,137 ,173 ,166 ,173 ,134 ,Inverclyde,542,1,-,1,-,-,9,3,5,2,9,15,29,30,61,79,75,79,75,44,25,Inverclyde,622,1,2,1,1,1,1,2,1,2,7,16,16,13,31,42,62,94,91,129,109,,,,,
Midlothian,845 ,3 ,-,2 ,1 ,4 ,2 ,2 ,6 ,4 ,11 ,16 ,24 ,45 ,59 ,86 ,111 ,153 ,125 ,109 ,82 ,Midlothian,423,2,-,2,1,2,2,1,4,2,9,6,18,27,46,45,65,79,52,41,19,Midlothian,422,1,-,-,-,2,-,1,2,2,2,10,6,18,13,41,46,74,73,68,63,,,,,
Moray,956 ,4 ,.,1 ,2 ,3 ,4 ,8 ,6 ,4 ,12 ,17 ,18 ,30 ,56 ,76 ,129 ,165 ,164 ,134 ,123 ,Moray,465,3,-,1,-,3,4,5,4,3,7,12,11,17,33,44,73,93,83,46,23,Moray,491,1,-,-,2,-,-,3,2,1,5,5,7,13,23,32,56,72,81,88,100,,,,,
Na h-Eileanan Siar2 ,411 ,.,.,.,.,1 ,.,2 ,4 ,2 ,.,7 ,13 ,14 ,32 ,31 ,40 ,56 ,65 ,64 ,80 ,Na h-Eileanan Siar2 ,202,-,-,-,-,-,-,2,1,2,-,6,10,9,20,23,24,29,32,23,21,Na h-Eileanan Siar2 ,209,-,-,-,-,1,-,-,3,-,-,1,3,5,12,8,16,27,33,41,59,,,,,
