"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,691",12,3,-,1,-,4,18,14,21,35,35,60,78,101,154,152,203,260,277,263,Dundee City  ,822,7,1,-,-,-,4,12,9,11,28,23,36,43,65,78,83,98,116,116,92,Dundee City  ,869,5,2,-,1,-,-,6,5,10,7,12,24,35,36,76,69,105,144,161,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,453",2,1,-,-,1,4,8,7,12,25,28,53,42,69,130,183,188,272,229,199,East Ayrshire  ,709,1,1,-,-,1,2,5,6,7,13,19,34,23,31,78,100,102,129,89,68,East Ayrshire  ,744,1,-,-,-,-,2,3,1,5,12,9,19,19,38,52,83,86,143,140,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,"1,114",2,3,-,-,1,5,3,4,6,13,14,23,43,55,68,116,124,189,214,231,East Dunbartonshire,514,1,2,-,-,1,2,2,2,4,9,8,11,29,29,28,62,72,96,72,84,East Dunbartonshire,600,1,1,-,-,-,3,1,2,2,4,6,12,14,26,40,54,52,93,142,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,"1,001",4,-,-,-,1,5,7,6,10,10,19,33,32,47,83,105,123,162,179,175,East Lothian  ,476,4,-,-,-,1,2,5,4,6,8,10,17,19,26,44,55,72,81,70,52,East Lothian  ,525,-,-,-,-,-,3,2,2,4,2,9,16,13,21,39,50,51,81,109,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,883,1,1,-,-,-,3,2,3,2,9,12,17,32,28,57,81,120,151,179,185,East Renfrewshire,397,-,-,-,-,-,-,2,2,-,6,5,9,12,21,33,45,66,70,70,56,East Renfrewshire,486,1,1,-,-,-,3,-,1,2,3,7,8,20,7,24,36,54,81,109,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk ,"1,734",8,1,2,-,3,7,8,13,14,36,37,56,62,101,116,201,261,276,278,254,Falkirk ,844,4,1,1,-,3,6,7,7,10,23,22,28,32,62,68,110,141,136,112,71,Falkirk ,890,4,-,1,-,-,1,1,6,4,13,15,28,30,39,48,91,120,140,166,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,"4,091",24,2,3,1,3,7,20,23,35,55,68,124,145,210,361,430,542,673,660,705,Fife,"1,967",15,2,3,-,2,3,13,16,17,36,32,75,84,125,209,233,265,347,269,221,Fife,"2,124",9,-,-,1,1,4,7,7,18,19,36,49,61,85,152,197,277,326,391,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,"6,321",29,5,4,3,11,15,39,53,65,131,206,264,307,408,602,617,835,"1,033",865,829,Glasgow City,"3,142",12,3,2,2,9,11,29,35,44,95,147,161,187,240,372,343,408,488,333,221,Glasgow City,"3,179",17,2,2,1,2,4,10,18,21,36,59,103,120,168,230,274,427,545,532,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,"2,397",3,-,-,3,7,11,7,12,20,31,37,59,114,133,197,250,284,408,380,441,Highland,"1,260",1,-,-,-,5,6,7,6,17,22,25,35,76,78,127,153,161,211,171,159,Highland,"1,137",2,-,-,3,2,5,-,6,3,9,12,24,38,55,70,97,123,197,209,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverclyde,"1,006",1,-,-,-,-,3,2,5,9,22,27,33,35,52,95,98,129,152,169,174,Inverclyde,491,1,-,-,-,-,3,1,3,2,17,18,19,24,29,64,57,63,67,72,51,Inverclyde,515,-,-,-,-,-,-,1,2,7,5,9,14,11,23,31,41,66,85,97,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,848,2,-,-,-,4,2,4,3,5,5,10,18,37,53,84,100,109,155,143,114,Midlothian,425,1,-,-,-,1,1,3,3,2,2,5,12,23,31,55,57,56,73,62,38,Midlothian,423,1,-,-,-,3,1,1,-,3,3,5,6,14,22,29,43,53,82,81,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,979,1,-,-,2,3,5,4,4,3,8,11,20,34,43,90,104,134,168,185,160,Moray,494,1,-,-,1,2,5,4,2,3,7,9,10,19,19,53,62,69,92,77,59,Moray,485,-,-,-,1,1,-,-,2,-,1,2,10,15,24,37,42,65,76,108,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na h-Eileanan Siar2 ,359,-,-,-,-,-,1,1,1,2,4,5,6,10,22,37,44,45,49,61,71,Na h-Eileanan Siar2 ,183,-,-,-,-,-,1,1,-,1,2,3,2,6,14,21,27,25,25,32,23,Na h-Eileanan Siar2 ,176,-,-,-,-,-,-,-,1,1,2,2,4,4,8,16,17,20,24,29,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Ayrshire,"1,593",8,2,-,-,2,6,5,13,15,27,34,48,73,98,141,187,221,255,239,219,North Ayrshire,800,2,2,-,-,1,3,4,9,12,16,21,30,39,53,83,108,121,121,106,69,North Ayrshire,793,6,-,-,-,1,3,1,4,3,11,13,18,34,45,58,79,100,134,133,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lanarkshire,"3,568",4,2,3,3,10,10,20,28,37,66,104,129,173,211,347,398,522,595,505,401,North Lanarkshire,"1,791",4,1,1,2,8,7,16,18,23,40,67,81,101,118,202,222,249,308,202,121,North Lanarkshire,"1,777",-,1,2,1,2,3,4,10,14,26,37,48,72,93,145,176,273,287,303,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orkney Islands,223,-,-,-,1,-,-,-,2,-,1,1,8,9,13,15,16,34,32,41,50,Orkney Islands,100,-,-,-,1,-,-,-,2,-,-,-,4,5,9,8,5,21,11,16,18,Orkney Islands,123,-,-,-,-,-,-,-,-,-,1,1,4,4,4,7,11,13,21,25,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth and Kinross,"1,617",8,2,-,-,6,6,5,6,9,16,29,31,53,62,126,161,197,271,294,335,Perth and Kinross,750,4,1,-,-,3,2,4,5,6,10,15,16,34,32,70,83,118,126,122,99,Perth and Kinross,867,4,1,-,-,3,4,1,1,3,6,14,15,19,30,56,78,79,145,172,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrewshire,"2,070",2,2,3,1,2,5,18,11,10,30,38,57,87,117,173,228,291,351,349,295,Renfrewshire,"1,015",-,-,2,-,1,3,12,3,8,19,19,34,55,72,107,116,146,170,140,108,Renfrewshire,"1,055",2,2,1,1,1,2,6,8,2,11,19,23,32,45,66,112,145,181,209,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Borders,"1,277",2,-,-,-,3,2,3,8,3,5,17,33,52,60,98,132,163,225,224,247,Scottish Borders,635,1,-,-,-,2,2,3,6,3,4,7,19,31,38,53,73,92,107,107,87,Scottish Borders,642,1,-,-,-,1,-,-,2,-,1,10,14,21,22,45,59,71,118,117,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shetland Islands,232,-,-,-,-,-,2,-,1,1,2,-,9,9,6,12,21,37,45,40,47,Shetland Islands,122,-,-,-,-,-,2,-,1,-,1,-,6,4,4,11,12,20,19,22,20,Shetland Islands,110,-,-,-,-,-,-,-,-,1,1,-,3,5,2,1,9,17,26,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ayrshire,"1,445",3,2,1,1,-,8,8,12,11,24,28,44,47,63,110,160,187,225,252,259,South Ayrshire,683,1,1,-,1,-,4,5,9,6,14,18,25,26,35,66,83,90,109,95,95,South Ayrshire,762,2,1,1,-,-,4,3,3,5,10,10,19,21,28,44,77,97,116,157,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire,"3,529",9,4,2,-,4,10,18,31,38,47,75,101,156,213,266,375,508,574,619,479,South Lanarkshire,"1,697",3,2,-,-,3,9,13,19,18,34,48,70,93,124,155,197,263,273,243,130,South Lanarkshire,"1,832",6,2,2,-,1,1,5,12,20,13,27,31,63,89,111,178,245,301,376,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling,899,-,-,-,-,4,3,5,2,5,2,15,21,30,44,81,83,136,158,150,160,Stirling,436,-,-,-,-,2,2,4,1,5,-,9,12,20,22,54,49,70,79,62,45,Stirling,463,-,-,-,-,2,1,1,1,-,2,6,9,10,22,27,34,66,79,88,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Dunbartonshire,"1,050",1,1,-,1,4,2,9,9,11,15,18,35,48,64,86,113,149,175,165,144,West Dunbartonshire,493,1,-,-,-,2,1,8,6,8,6,12,21,28,37,55,60,64,83,56,45,West Dunbartonshire,557,-,1,-,1,2,1,1,3,3,9,6,14,20,27,31,53,85,92,109,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lothian,"1,551",7,1,3,-,5,6,7,10,10,16,28,57,56,94,153,179,239,278,223,179,West Lothian,741,3,-,3,-,1,3,5,6,5,10,15,30,30,52,90,97,110,128,100,53,West Lothian,810,4,1,-,-,4,3,2,4,5,6,13,27,26,42,63,82,129,150,123,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
