"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"56,728",181,42,29,26,98,165,276,363,470,822,"1,173","1,699","2,302","3,082","4,767","5,818","7,462","9,350","9,333","9,270",SCOTLAND,"27,760",94,23,19,13,67,108,206,238,292,530,721,"1,031","1,367","1,807","2,844","3,245","3,843","4,551","3,828","2,933",SCOTLAND,"28,968",87,19,10,13,31,57,70,125,178,292,452,668,935,"1,275","1,923","2,573","3,619","4,799","5,505","6,337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,129",8,1,3,1,4,5,6,11,29,43,60,57,106,123,191,164,240,346,386,345,Aberdeen City   ,"1,024",4,1,3,1,4,4,6,6,18,23,38,35,63,78,118,99,122,155,156,90,Aberdeen City   ,"1,105",4,-,-,-,-,1,-,5,11,20,22,22,43,45,73,65,118,191,230,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,360",7,1,2,3,5,4,4,10,15,28,43,65,85,113,175,237,283,380,403,497,Aberdeenshire  ,"1,170",4,-,1,2,4,4,4,7,8,15,23,43,52,72,114,133,156,192,157,179,Aberdeenshire  ,"1,190",3,1,1,1,1,-,-,3,7,13,20,22,33,41,61,104,127,188,246,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,433",5,-,-,-,1,3,3,4,10,14,14,43,50,81,114,133,198,238,256,266,Angus  ,693,1,-,-,-,1,1,3,3,6,6,7,27,22,49,71,81,107,113,105,90,Angus  ,740,4,-,-,-,-,2,-,1,4,8,7,16,28,32,43,52,91,125,151,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,110",1,2,-,1,2,1,4,5,5,12,18,26,46,66,92,112,133,173,189,222,Argyll and Bute  ,560,-,1,-,1,2,1,4,4,4,9,14,20,25,37,59,71,63,95,87,63,Argyll and Bute  ,550,1,1,-,-,-,-,-,1,1,3,4,6,21,29,33,41,70,78,102,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,361",20,5,1,4,6,13,26,37,37,70,101,123,166,211,315,379,508,654,776,909,City of Edinburgh2 ,"2,092",13,3,1,2,5,9,18,25,26,40,59,81,104,127,178,220,264,323,322,272,City of Edinburgh2,"2,269",7,2,-,2,1,4,8,12,11,30,42,42,62,84,137,159,244,331,454,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,546,1,-,-,-,1,2,5,7,5,6,13,13,18,43,45,65,80,89,69,84,Clackmannanshire,263,1,-,-,-,1,2,3,6,3,4,9,6,7,30,23,40,35,38,28,27,Clackmannanshire,283,-,-,-,-,-,-,2,1,2,2,4,7,11,13,22,25,45,51,41,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,858",6,1,2,-,5,5,7,8,15,14,28,33,67,78,153,194,239,338,334,331,Dumfries and Galloway,971,4,1,2,-,2,3,3,7,9,11,14,22,51,48,97,109,134,170,157,127,Dumfries and Galloway,887,2,-,-,-,3,2,4,1,6,3,14,11,16,30,56,85,105,168,177,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
