SCOTLAND,"58,108",165,33,16,27,97,193,263,372,577,829,"1,151","1,647","2,291","3,233","4,369","6,238","7,605","9,570","9,699","9,733",SCOTLAND,"28,489",104,15,8,13,65,139,180,255,368,527,717,993,"1,290","1,862","2,493","3,510","4,013","4,684","4,188","3,065",SCOTLAND,"29,619",61,18,8,14,32,54,83,117,209,302,434,654,"1,001","1,371","1,876","2,728","3,592","4,886","5,511","6,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,688",13,-,1,1,1,5,9,21,23,29,35,61,68,97,130,174,213,278,281,248,Dundee City  ,845,9,-,-,-,1,4,8,15,14,21,17,39,43,59,78,100,116,135,112,74,Dundee City  ,843,4,-,1,1,-,1,1,6,9,8,18,22,25,38,52,74,97,143,169,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,499",1,-,-,1,4,4,6,16,14,29,28,44,67,79,117,178,219,245,222,225,East Ayrshire  ,747,-,-,-,-,2,4,6,8,8,12,18,25,46,45,65,95,104,123,103,83,East Ayrshire  ,752,1,-,-,1,2,-,-,8,6,17,10,19,21,34,52,83,115,122,119,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,"1,137",3,-,-,1,2,3,4,3,6,11,20,15,31,47,65,110,149,179,212,276,East Dunbartonshire,525,2,-,-,1,2,1,2,3,3,7,13,8,12,25,36,60,85,90,94,81,East Dunbartonshire,612,1,-,-,-,-,2,2,-,3,4,7,7,19,22,29,50,64,89,118,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,"1,024",1,-,1,-,2,5,3,3,10,9,12,18,34,50,74,100,137,155,216,194,East Lothian  ,502,1,-,1,-,2,4,1,2,5,5,9,10,24,25,35,52,82,77,99,68,East Lothian  ,522,-,-,-,-,-,1,2,1,5,4,3,8,10,25,39,48,55,78,117,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,923,2,-,-,2,-,3,2,4,5,6,11,16,16,51,59,82,101,169,191,203,East Renfrewshire,449,2,-,-,-,-,2,2,3,2,4,8,9,11,30,37,41,54,96,78,70,East Renfrewshire,474,-,-,-,2,-,1,-,1,3,2,3,7,5,21,22,41,47,73,113,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk ,"1,786",2,1,-,1,1,5,9,9,20,33,29,52,75,103,131,187,272,340,269,247,Falkirk ,891,1,-,-,-,1,2,6,5,15,26,21,28,45,56,67,106,147,165,119,81,Falkirk ,895,1,1,-,1,-,3,3,4,5,7,8,24,30,47,64,81,125,175,150,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,"4,155",18,3,2,1,6,12,19,19,41,44,91,104,172,210,318,439,559,704,664,729,Fife,"2,052",11,-,1,1,4,9,14,12,26,27,52,71,86,128,170,236,308,351,286,259,Fife,"2,103",7,3,1,-,2,3,5,7,15,17,39,33,86,82,148,203,251,353,378,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,"6,314",20,7,3,5,14,23,34,55,87,153,192,268,354,418,510,708,775,997,914,777,Glasgow City,"3,069",12,3,1,2,7,15,22,39,55,102,113,168,202,243,306,373,365,441,375,225,Glasgow City,"3,245",8,4,2,3,7,8,12,16,32,51,79,100,152,175,204,335,410,556,539,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,"2,635",6,2,-,2,8,9,13,20,21,27,43,61,81,163,208,279,331,419,495,447,Highland,"1,290",5,1,-,1,6,4,7,14,14,17,25,41,42,95,118,182,162,198,222,136,Highland,"1,345",1,1,-,1,2,5,6,6,7,10,18,20,39,68,90,97,169,221,273,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverclyde,"1,079",3,-,1,1,1,4,9,7,12,16,19,33,42,74,94,106,139,168,169,181,Inverclyde,511,1,-,-,1,1,4,5,6,8,11,9,23,21,41,51,57,73,77,64,58,Inverclyde,568,2,-,1,-,-,-,4,1,4,5,10,10,21,33,43,49,66,91,105,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,929,-,-,-,-,2,3,3,8,8,18,8,25,45,53,87,106,110,158,151,144,Midlothian,455,-,-,-,-,1,3,2,4,6,10,6,12,27,38,49,54,54,68,70,51,Midlothian,474,-,-,-,-,1,-,1,4,2,8,2,13,18,15,38,52,56,90,81,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,"1,044",1,1,-,-,2,6,4,7,4,13,10,19,29,40,77,126,138,185,185,197,Moray,508,1,-,-,-,2,5,4,5,4,4,6,11,17,22,46,71,72,100,70,68,Moray,536,-,1,-,-,-,1,-,2,-,9,4,8,12,18,31,55,66,85,115,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na h-Eileanan Siar2 ,358,-,-,-,-,-,-,-,-,3,2,4,11,10,13,26,37,61,57,55,79,Na h-Eileanan Siar2 ,178,-,-,-,-,-,-,-,-,2,2,3,8,7,8,19,25,30,31,24,19,Na h-Eileanan Siar2 ,180,-,-,-,-,-,-,-,-,1,-,1,3,3,5,7,12,31,26,31,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Ayrshire,"1,740",3,2,-,2,3,3,8,9,21,24,37,55,69,108,145,202,243,263,293,250,North Ayrshire,884,2,2,-,1,3,1,6,4,12,19,25,35,39,62,88,120,135,126,129,75,North Ayrshire,856,1,-,-,1,-,2,2,5,9,5,12,20,30,46,57,82,108,137,164,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lanarkshire,"3,689",12,3,-,3,6,24,21,34,37,66,97,138,169,219,305,451,515,580,564,445,North Lanarkshire,"1,844",10,2,-,1,4,20,16,25,25,35,56,80,100,119,173,252,268,291,237,130,North Lanarkshire,"1,845",2,1,-,2,2,4,5,9,12,31,41,58,69,100,132,199,247,289,327,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orkney Islands,232,-,-,-,-,-,2,-,-,2,-,2,6,6,13,19,26,21,52,42,41,Orkney Islands,116,-,-,-,-,-,1,-,-,2,-,1,3,2,10,11,15,8,27,22,14,Orkney Islands,116,-,-,-,-,-,1,-,-,-,-,1,3,4,3,8,11,13,25,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth and Kinross,"1,694",4,-,-,-,2,3,7,5,17,18,23,46,51,66,100,173,205,280,315,379,Perth and Kinross,820,3,-,-,-,2,3,5,5,11,16,16,25,29,38,45,97,101,142,150,132,Perth and Kinross,874,1,-,-,-,-,-,2,-,6,2,7,21,22,28,55,76,104,138,165,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrewshire,"2,039",10,-,-,-,4,7,8,9,21,18,45,59,87,115,163,226,282,353,308,324,Renfrewshire,980,7,-,-,-,1,6,3,7,13,16,32,40,49,67,72,135,155,166,123,88,Renfrewshire,"1,059",3,-,-,-,3,1,5,2,8,2,13,19,38,48,91,91,127,187,185,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
