"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2020",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"64,093",146,28,20,32,105,198,284,414,580,768,"1,240","1,831","2,556","3,492","4,675","7,001","8,561","10,511","10,783","10,868",SCOTLAND,"32,130",79,14,8,24,80,136,212,278,380,492,768,"1,144","1,556","2,078","2,726","3,984","4,702","5,162","4,723","3,584",SCOTLAND,"31,963",67,14,12,8,25,62,72,136,200,276,472,687,"1,000","1,414","1,949","3,017","3,859","5,349","6,060","7,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,233",6,3,-,2,2,7,9,13,23,37,48,66,99,129,153,212,271,345,409,399,Aberdeen City   ,"1,094",2,-,-,-,2,5,7,10,15,29,31,40,59,71,90,122,140,168,185,118,Aberdeen City   ,"1,139",4,3,-,2,-,2,2,3,8,8,17,26,40,58,63,90,131,177,224,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,652",10,-,2,3,4,4,11,15,19,33,45,62,103,131,182,268,352,462,462,484,Aberdeenshire  ,"1,364",9,-,-,3,4,3,9,12,15,14,26,39,53,86,114,159,194,239,214,171,Aberdeenshire  ,"1,288",1,-,2,-,-,1,2,3,4,19,19,23,50,45,68,109,158,223,248,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,467",3,-,2,-,2,2,5,6,12,14,16,42,37,62,81,168,207,246,277,285,Angus  ,704,3,-,2,-,2,1,2,3,8,9,10,24,20,31,40,88,121,112,134,94,Angus  ,763,-,-,-,-,-,1,3,3,4,5,6,18,17,31,41,80,86,134,143,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,184",-,-,1,1,3,2,2,7,6,11,20,31,44,53,65,131,184,195,222,206,Argyll and Bute  ,599,-,-,-,1,2,1,2,5,5,9,11,22,25,29,47,73,99,102,103,63,Argyll and Bute  ,585,-,-,1,-,1,1,-,2,1,2,9,9,19,24,18,58,85,93,119,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh,"4,794",11,5,2,3,5,14,15,22,43,51,101,121,191,263,309,490,537,708,859,"1,044",City of Edinburgh ,"2,390",6,4,1,1,5,10,8,13,30,31,66,81,118,170,192,292,297,348,377,340,City of Edinburgh,"2,404",5,1,1,2,-,4,7,9,13,20,35,40,73,93,117,198,240,360,482,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,629,-,-,-,-,-,2,1,3,10,5,12,27,29,42,57,86,82,107,78,88,Clackmannanshire,304,-,-,-,-,-,2,1,3,8,4,8,12,18,25,32,53,39,42,34,23,Clackmannanshire,325,-,-,-,-,-,-,-,-,2,1,4,15,11,17,25,33,43,65,44,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"2,074",1,1,1,-,4,2,6,13,9,18,22,52,72,79,148,215,268,372,399,392,Dumfries and Galloway,"1,045",-,1,-,-,4,1,4,8,8,11,9,26,48,44,85,131,149,191,192,133,Dumfries and Galloway,"1,029",1,-,1,-,-,1,2,5,1,7,13,26,24,35,63,84,119,181,207,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,907",2,2,2,-,2,6,18,14,24,29,47,54,85,119,139,207,219,314,295,329,Dundee City  ,981,2,2,1,-,1,5,12,8,18,16,30,37,49,69,93,111,127,156,130,114,Dundee City  ,926,-,-,1,-,1,1,6,6,6,13,17,17,36,50,46,96,92,158,165,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,580",3,2,-,-,1,6,13,9,10,19,48,42,57,94,131,182,221,279,244,219,East Ayrshire  ,843,2,1,-,-,1,5,10,5,8,12,28,26,39,54,87,103,127,146,119,70,East Ayrshire  ,737,1,1,-,-,-,1,3,4,2,7,20,16,18,40,44,79,94,133,125,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,"1,323",2,-,-,-,2,3,3,5,7,9,12,27,37,47,67,110,171,233,282,306,East Dunbartonshire,642,1,-,-,-,1,2,1,4,6,6,6,11,26,22,40,64,104,104,125,119,East Dunbartonshire,681,1,-,-,-,1,1,2,1,1,3,6,16,11,25,27,46,67,129,157,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
