"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"57,883",176,28,17,36,84,142,225,361,546,710,"1,138","1,669","2,256","3,075","4,490","6,039","7,856","9,517","9,796","9,722",SCOTLAND,"28,250",102,18,7,19,53,98,167,259,339,446,735,982,"1,304","1,798","2,603","3,403","4,130","4,618","4,065","3,104",SCOTLAND,"29,633",74,10,10,17,31,44,58,102,207,264,403,687,952,"1,277","1,887","2,636","3,726","4,899","5,731","6,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,130",3,3,0,0,3,3,10,14,31,38,44,62,86,118,158,183,248,325,406,395,Aberdeen City   ,"1,028",1,0,0,0,1,2,8,7,20,30,30,41,45,79,88,97,139,151,161,128,Aberdeen City   ,"1,102",2,3,0,0,2,1,2,7,11,8,14,21,41,39,70,86,109,174,245,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,470",2,1,1,0,2,7,8,13,19,21,47,61,84,126,177,252,342,393,447,467,Aberdeenshire  ,"1,269",2,1,1,0,0,5,7,10,10,9,31,27,50,79,105,155,182,214,211,170,Aberdeenshire  ,"1,201",0,0,0,0,2,2,1,3,9,12,16,34,34,47,72,97,160,179,236,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,405",4,0,0,1,2,3,5,10,10,9,26,32,53,71,89,140,175,237,284,254,Angus  ,671,3,0,0,0,2,2,3,7,7,5,16,17,28,39,56,78,88,124,109,87,Angus  ,734,1,0,0,1,0,1,2,3,3,4,10,15,25,32,33,62,87,113,175,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,072",0,0,1,2,3,2,6,2,7,8,16,29,35,62,84,105,173,165,193,179,Argyll and Bute  ,543,0,0,0,1,1,2,6,1,3,5,11,14,18,39,56,63,101,77,89,56,Argyll and Bute  ,529,0,0,1,1,2,0,0,1,4,3,5,15,17,23,28,42,72,88,104,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,290",19,2,2,4,7,11,15,43,43,52,83,143,159,203,299,395,508,654,743,905,City of Edinburgh2 ,"2,087",15,1,2,3,4,8,13,33,29,34,54,92,93,111,169,223,269,344,293,297,City of Edinburgh2,"2,203",4,1,0,1,3,3,2,10,14,18,29,51,66,92,130,172,239,310,450,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,556,4,0,0,0,0,2,4,2,4,5,8,24,18,30,44,63,77,102,85,84,Clackmannanshire,254,4,0,0,0,0,2,3,1,2,3,5,11,10,18,16,32,43,41,37,26,Clackmannanshire,302,0,0,0,0,0,0,1,1,2,2,3,13,8,12,28,31,34,61,48,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,986",3,0,0,2,2,6,6,6,17,12,25,35,59,84,135,223,256,342,376,397,Dumfries and Galloway,968,2,0,0,1,1,4,2,3,13,8,14,21,34,44,75,126,137,179,160,144,Dumfries and Galloway,"1,018",1,0,0,1,1,2,4,3,4,4,11,14,25,40,60,97,119,163,216,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,783",11,2,0,0,3,4,9,23,28,29,45,61,62,102,132,162,240,277,305,288,Dundee City  ,906,6,1,0,0,2,3,9,17,23,19,34,33,36,60,67,105,120,143,125,103,Dundee City  ,877,5,1,0,0,1,1,0,6,5,10,11,28,26,42,65,57,120,134,180,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,436",5,2,0,0,0,4,9,7,16,16,32,37,43,74,109,170,227,245,250,190,East Ayrshire  ,719,4,2,0,0,0,2,5,3,10,10,21,20,26,39,61,94,125,127,115,55,East Ayrshire  ,717,1,0,0,0,0,2,4,4,6,6,11,17,17,35,48,76,102,118,135,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,"1,157",0,0,1,0,3,1,3,3,3,9,13,23,41,44,78,112,166,198,220,239,East Dunbartonshire,548,0,0,0,0,2,1,3,2,1,6,8,10,26,18,48,65,90,97,89,82,East Dunbartonshire,609,0,0,1,0,1,0,0,1,2,3,5,13,15,26,30,47,76,101,131,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,"1,141",3,0,0,0,1,1,5,5,6,11,12,30,31,58,89,118,157,186,192,236,East Lothian  ,557,2,0,0,0,1,1,3,5,4,8,7,20,16,32,50,72,82,87,92,75,East Lothian  ,584,1,0,0,0,0,0,2,0,2,3,5,10,15,26,39,46,75,99,100,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,933,0,0,1,1,0,2,0,4,0,9,9,14,34,47,52,87,115,166,185,207,East Renfrewshire,397,0,0,1,1,0,2,0,3,0,4,8,10,17,27,25,44,50,78,68,59,East Renfrewshire,536,0,0,0,0,0,0,0,1,0,5,1,4,17,20,27,43,65,88,117,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk ,"1,644",7,0,1,2,5,3,4,5,9,24,31,29,75,95,157,182,209,285,262,259,Falkirk ,777,4,0,0,0,5,0,1,4,6,14,23,17,50,55,86,96,99,142,106,69,Falkirk ,867,3,0,1,2,0,3,3,1,3,10,8,12,25,40,71,86,110,143,156,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,"4,189",15,3,1,3,6,13,14,26,35,46,80,117,166,219,328,447,550,741,669,710,Fife,"2,100",6,2,0,2,3,7,10,16,17,25,44,69,91,132,205,253,303,388,292,235,Fife,"2,089",9,1,1,1,3,6,4,10,18,21,36,48,75,87,123,194,247,353,377,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,"6,485",40,2,1,5,7,18,30,43,101,124,191,275,320,442,540,658,892,"1,038",913,845,Glasgow City,"3,187",22,0,0,2,6,15,21,32,64,81,125,168,200,278,305,353,463,465,346,241,Glasgow City,"3,298",18,2,1,3,1,3,9,11,37,43,66,107,120,164,235,305,429,573,567,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,"2,576",3,2,1,1,7,6,15,11,24,24,40,61,105,131,210,249,343,400,484,459,Highland,"1,274",0,1,1,1,6,4,13,8,16,12,25,34,68,83,129,145,176,200,210,142,Highland,"1,302",3,1,0,0,1,2,2,3,8,12,15,27,37,48,81,104,167,200,274,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverclyde,"1,104",3,0,0,1,0,1,5,6,6,17,23,34,62,65,92,124,130,184,182,169,Inverclyde,533,0,0,0,1,0,0,4,2,4,9,15,20,42,35,62,69,72,87,63,48,Inverclyde,571,3,0,0,0,0,1,1,4,2,8,8,14,20,30,30,55,58,97,119,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,885,1,0,0,0,1,1,4,2,12,13,13,25,37,44,71,102,130,138,152,139,Midlothian,430,1,0,0,0,0,1,3,1,9,9,8,11,20,27,40,59,74,69,56,42,Midlothian,455,0,0,0,0,1,0,1,1,3,4,5,14,17,17,31,43,56,69,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,"1,009",3,1,2,0,4,2,2,4,5,5,11,26,32,46,90,117,168,152,158,181,Moray,478,1,0,1,0,2,1,2,3,3,2,7,14,16,32,51,70,88,63,61,61,Moray,531,2,1,1,0,2,1,0,1,2,3,4,12,16,14,39,47,80,89,97,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
