"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
Dundee City  ,"1,914 ",10 ,1 ,1 ,1 ,14 ,8 ,9 ,12 ,19 ,23 ,40 ,56 ,75 ,125 ,193 ,257 ,347 ,270 ,272 ,181 ,Dundee City  ,932,7,1,1,-,12,6,5,9,10,16,30,38,46,84,110,152,173,116,87,29,Dundee City  ,982,3,-,-,1,2,2,4,3,9,7,10,18,29,41,83,105,174,154,185,152,,,
East Ayrshire  ,"1,601 ",7 ,1 ,2 ,-,8 ,9 ,14 ,15 ,12 ,18 ,22 ,43 ,49 ,104 ,155 ,236 ,253 ,232 ,256 ,165 ,East Ayrshire  ,723,2,-,1,-,6,7,13,14,10,9,10,28,24,53,90,116,117,99,87,37,East Ayrshire  ,878,5,1,1,-,2,2,1,1,2,9,12,15,25,51,65,120,136,133,169,128,,,
East Dunbartonshire,"1,010 ",5 ,1 ,-,-,2 ,4 ,3 ,5 ,4 ,4 ,22 ,43 ,41 ,46 ,89 ,136 ,190 ,166 ,132 ,117 ,East Dunbartonshire,442,3,-,-,-,1,2,1,4,3,2,12,25,23,32,45,64,91,68,46,20,East Dunbartonshire,568,2,1,-,-,1,2,2,1,1,2,10,18,18,14,44,72,99,98,86,97,,,
East Lothian  ,"1,045 ",4 ,-,1 ,-,3 ,-,7 ,7 ,11 ,10 ,13 ,27 ,42 ,48 ,85 ,123 ,184 ,170 ,170 ,140 ,East Lothian  ,499,3,-,-,-,3,-,5,6,9,6,5,18,28,23,47,71,91,74,75,35,East Lothian  ,546,1,-,1,-,-,-,2,1,2,4,8,9,14,25,38,52,93,96,95,105,,,
East Renfrewshire,825 ,2 ,-,-,1 ,2 ,3 ,2 ,4 ,3 ,5 ,7 ,25 ,38 ,40 ,65 ,100 ,130 ,134 ,128 ,136 ,East Renfrewshire,357,1,-,-,1,1,3,2,3,1,1,3,13,24,19,40,54,64,53,42,32,East Renfrewshire,468,1,-,-,-,1,-,-,1,2,4,4,12,14,21,25,46,66,81,86,104,,,
Falkirk ,"1,659 ",10 ,1 ,1 ,4 ,5 ,8 ,8 ,10 ,10 ,24 ,37 ,53 ,79 ,97 ,158 ,218 ,290 ,253 ,232 ,161 ,Falkirk ,796,6,1,1,3,2,5,7,8,6,14,22,41,44,45,87,128,144,108,81,43,Falkirk ,863,4,-,-,1,3,3,1,2,4,10,15,12,35,52,71,90,146,145,151,118,,,
Fife,"3,924 ",17 ,3 ,4 ,2 ,12 ,16 ,12 ,28 ,35 ,36 ,62 ,119 ,132 ,204 ,349 ,513 ,714 ,570 ,611 ,485 ,Fife,"1,844",12,1,2,2,7,13,11,20,19,19,38,73,80,118,201,298,362,248,215,105,Fife,"2,080",5,2,2,-,5,3,1,8,16,17,24,46,52,86,148,215,352,322,396,380,,,
Glasgow City,"8,441 ",36 ,11 ,4 ,4 ,33 ,43 ,67 ,91 ,108 ,130 ,168 ,287 ,401 ,621 ,816 ,"1,157 ","1,394 ","1,206 ","1,059 ",805 ,Glasgow City,"4,078",18,6,2,2,27,38,50,62,76,80,104,199,273,364,466,609,714,486,345,157,Glasgow City,"4,363",18,5,2,2,6,5,17,29,32,50,64,88,128,257,350,548,680,720,714,648,,,
Highland,"2,434 ",9 ,1 ,6 ,2 ,11 ,15 ,14 ,19 ,22 ,30 ,44 ,73 ,118 ,123 ,204 ,291 ,379 ,371 ,381 ,321 ,Highland,"1,233",4,-,4,2,6,15,12,15,19,18,22,42,75,66,131,181,206,180,146,89,Highland,"1,201",5,1,2,-,5,-,2,4,3,12,22,31,43,57,73,110,173,191,235,232,,,
Inverclyde,"1,161 ",5 ,3 ,-,-,3 ,5 ,11 ,11 ,7 ,21 ,26 ,42 ,56 ,97 ,106 ,144 ,175 ,158 ,163 ,128 ,Inverclyde,576,5,1,-,-,2,3,10,8,6,17,17,33,35,58,62,85,91,71,44,28,Inverclyde,585,-,2,-,-,1,2,1,3,1,4,9,9,21,39,44,59,84,87,119,100,,,
Midlothian,827 ,4 ,1 ,-,1 ,-,1 ,6 ,6 ,6 ,5 ,19 ,25 ,41 ,57 ,52 ,108 ,148 ,148 ,118 ,81 ,Midlothian,393,2,1,-,1,-,-,3,3,4,3,11,14,21,38,33,60,76,64,41,18,Midlothian,434,2,-,-,-,-,1,3,3,2,2,8,11,20,19,19,48,72,84,77,63,,,
Moray,969 ,4 ,1 ,2 ,3 ,4 ,1 ,5 ,5 ,9 ,12 ,17 ,32 ,32 ,54 ,90 ,114 ,176 ,136 ,157 ,115 ,Moray,454,2,1,-,2,1,1,4,3,4,8,10,17,18,40,55,56,95,47,62,28,Moray,515,2,-,2,1,3,-,1,2,5,4,7,15,14,14,35,58,81,89,95,87,,,
Na h-Eileanan Siar2 ,405 ,1 ,-,-,-,-,2 ,3 ,-,2 ,4 ,4 ,15 ,14 ,22 ,37 ,48 ,74 ,41 ,63 ,75 ,Na h-Eileanan Siar2 ,215,1,-,-,-,-,2,3,-,2,2,1,10,13,12,24,31,41,18,33,22,Na h-Eileanan Siar2 ,190,-,-,-,-,-,-,-,-,-,2,3,5,1,10,13,17,33,23,30,53,,,
North Ayrshire,"1,662 ",10 ,1 ,1 ,1 ,2 ,6 ,8 ,9 ,12 ,16 ,23 ,53 ,71 ,110 ,147 ,207 ,285 ,270 ,232 ,198 ,North Ayrshire,743,4,1,-,-,2,6,7,5,7,10,14,31,45,60,80,106,146,97,88,34,North Ayrshire,919,6,-,1,1,-,-,1,4,5,6,9,22,26,50,67,101,139,173,144,164,,,
North Lanarkshire,"3,609 ",14 ,1 ,1 ,3 ,16 ,14 ,18 ,27 ,39 ,45 ,72 ,128 ,191 ,288 ,391 ,562 ,608 ,510 ,408 ,273 ,North Lanarkshire,"1,795",8,-,1,1,11,12,14,20,26,27,52,82,115,176,252,307,292,209,133,57,North Lanarkshire,"1,814",6,1,-,2,5,2,4,7,13,18,20,46,76,112,139,255,316,301,275,216,,,
Orkney Islands,212 ,1 ,-,-,1 ,2 ,1 ,1 ,2 ,3 ,1 ,6 ,5 ,2 ,7 ,28 ,20 ,34 ,31 ,39 ,28 ,Orkney Islands,121,-,-,-,1,1,-,1,1,2,-,4,4,2,6,20,14,21,19,17,8,Orkney Islands,91,1,-,-,-,1,1,-,1,1,1,2,1,-,1,8,6,13,12,22,20,,,
Perth and Kinross,"1,687 ",9 ,2 ,-,1 ,-,4 ,3 ,7 ,5 ,25 ,13 ,30 ,62 ,90 ,131 ,196 ,266 ,322 ,289 ,232 ,Perth and Kinross,792,7,-,-,-,-,4,2,4,4,17,11,20,43,52,73,107,129,162,108,49,Perth and Kinross,895,2,2,-,1,-,-,1,3,1,8,2,10,19,38,58,89,137,160,181,183,,,
Renfrewshire,"2,150 ",11 ,2 ,2 ,3 ,12 ,17 ,15 ,11 ,15 ,33 ,49 ,74 ,105 ,142 ,222 ,302 ,331 ,312 ,310 ,182 ,Renfrewshire,"1,051",9,1,1,1,10,14,13,9,9,23,28,44,68,89,127,169,158,136,107,35,Renfrewshire,"1,099",2,1,1,2,2,3,2,2,6,10,21,30,37,53,95,133,173,176,203,147,,,
Scottish Borders,"1,323 ",3 ,1 ,1 ,1 ,2 ,5 ,4 ,6 ,8 ,15 ,25 ,36 ,46 ,62 ,83 ,157 ,253 ,209 ,217 ,189 ,Scottish Borders,594,2,1,1,1,2,3,3,3,6,9,14,17,23,39,50,91,117,102,69,41,Scottish Borders,729,1,-,-,-,-,2,1,3,2,6,11,19,23,23,33,66,136,107,148,148,,,
Shetland Islands,221 ,-,2 ,-,1 ,-,-,-,-,1 ,3 ,7 ,7 ,3 ,13 ,18 ,22 ,45 ,35 ,34 ,30 ,Shetland Islands,117,-,1,-,-,-,-,-,-,-,3,7,4,2,7,9,13,28,14,16,13,Shetland Islands,104,-,1,-,1,-,-,-,-,1,-,-,3,1,6,9,9,17,21,18,17,,,
South Ayrshire,"1,446 ",7 ,-,-,-,3 ,6 ,4 ,8 ,4 ,13 ,22 ,44 ,68 ,66 ,117 ,193 ,281 ,206 ,237 ,167 ,South Ayrshire,666,1,-,-,-,2,4,1,3,4,6,11,25,40,44,74,106,157,77,71,40,South Ayrshire,780,6,-,-,-,1,2,3,5,-,7,11,19,28,22,43,87,124,129,166,127,,,
South Lanarkshire,"3,536 ",17 ,2 ,4 ,7 ,13 ,20 ,16 ,25 ,38 ,48 ,61 ,112 ,173 ,218 ,369 ,490 ,588 ,476 ,500 ,359 ,South Lanarkshire,"1,663",11,1,2,4,6,13,11,17,22,30,37,66,101,140,212,265,271,190,177,87,South Lanarkshire,"1,873",6,1,2,3,7,7,5,8,16,18,24,46,72,78,157,225,317,286,323,272,,,
Stirling,968 ,1 ,2 ,1 ,1 ,3 ,7 ,3 ,6 ,9 ,13 ,14 ,20 ,23 ,55 ,80 ,104 ,160 ,150 ,170 ,146 ,Stirling,439,-,1,-,1,2,6,3,1,6,6,10,12,15,33,48,46,81,60,70,38,Stirling,529,1,1,1,-,1,1,-,5,3,7,4,8,8,22,32,58,79,90,100,108,,,
West Dunbartonshire,"1,229 ",5 ,2 ,2 ,1 ,7 ,5 ,5 ,6 ,10 ,20 ,30 ,43 ,57 ,84 ,118 ,172 ,201 ,201 ,143 ,117 ,West Dunbartonshire,574,3,2,2,1,4,4,3,3,5,15,21,29,37,42,65,89,104,74,46,25,West Dunbartonshire,655,2,-,-,-,3,1,2,3,5,5,9,14,20,42,53,83,97,127,97,92,,,
West Lothian,"1,531 ",13 ,3 ,1 ,-,5 ,6 ,9 ,12 ,18 ,21 ,31 ,64 ,83 ,107 ,163 ,192 ,252 ,213 ,202 ,136 ,West Lothian,716,10,-,-,-,5,5,8,8,9,12,19,42,45,65,92,95,118,96,68,19,West Lothian,815,3,3,1,-,-,1,1,4,9,9,12,22,38,42,71,97,134,117,134,117,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
