"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"60,281 ",276 ,57 ,43 ,50 ,203 ,273 ,324 ,422 ,534 ,751 ,"1,078 ","1,870 ","2,542 ","3,662 ","5,523 ","7,883 ","10,171 ","8,935 ","8,821 ","6,863 ",SCOTLAND,"28,605 ",161 ,31 ,23 ,33 ,138 ,215 ,250 ,295 ,357 ,461 ,636 ,"1,184 ","1,582 ","2,191 ","3,231 ","4,338 ","5,152 ","3,756 ","3,074 ","1,497 ",SCOTLAND,"31,676 ",115 ,26 ,20 ,17 ,65 ,58 ,74 ,127 ,177 ,290 ,442 ,686 ,960 ,"1,471 ","2,292 ","3,545 ","5,019 ","5,179 ","5,747 ","5,366 ",,,
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,322 ",7 ,3 ,1 ,1 ,6 ,14 ,16 ,18 ,19 ,34 ,34 ,80 ,94 ,112 ,212 ,318 ,383 ,336 ,341 ,293 ,Aberdeen City   ,"1,099",3,2,1,1,4,10,12,11,14,22,23,55,64,73,116,182,204,135,114,53,Aberdeen City   ,"1,223",4,1,-,-,2,4,4,7,5,12,11,25,30,39,96,136,179,201,227,240,,,
Aberdeenshire  ,"2,114 ",12 ,6 ,2 ,4 ,7 ,15 ,14 ,15 ,22 ,30 ,42 ,60 ,66 ,94 ,175 ,279 ,305 ,299 ,371 ,296 ,Aberdeenshire  ,993,8,6,1,2,4,11,10,13,12,19,22,36,46,56,103,151,153,136,135,69,Aberdeenshire  ,"1,121",4,-,1,2,3,4,4,2,10,11,20,24,20,38,72,128,152,163,236,227,,,
Angus  ,"1,430 ",3 ,1 ,1 ,2 ,7 ,7 ,9 ,6 ,10 ,15 ,18 ,30 ,66 ,84 ,105 ,158 ,248 ,218 ,237 ,205 ,Angus  ,621,1,-,1,2,4,3,5,3,6,6,6,17,39,50,52,92,128,89,82,35,Angus  ,809,2,1,-,-,3,4,4,3,4,9,12,13,27,34,53,66,120,129,155,170,,,
Argyll and Bute  ,"1,237 ",6 ,-,-,1 ,4 ,5 ,6 ,5 ,6 ,11 ,20 ,37 ,45 ,78 ,107 ,149 ,214 ,194 ,185 ,164 ,Argyll and Bute  ,600,4,-,-,1,2,4,5,4,5,10,8,24,35,51,68,85,114,85,52,43,Argyll and Bute  ,637,2,-,-,-,2,1,1,1,1,1,12,13,10,27,39,64,100,109,133,121,,,
City of Edinburgh2,"5,036 ",34 ,2 ,4 ,3 ,11 ,18 ,22 ,33 ,44 ,58 ,96 ,145 ,168 ,271 ,423 ,617 ,848 ,732 ,816 ,691 ,City of Edinburgh2 ,"2,329",20,1,2,3,7,14,18,29,32,32,45,87,106,164,255,347,449,283,281,154,City of Edinburgh2,"2,707",14,1,2,-,4,4,4,4,12,26,51,58,62,107,168,270,399,449,535,537,,,
Clackmannanshire,510 ,3 ,1 ,-,-,-,2 ,2 ,3 ,6 ,3 ,11 ,19 ,32 ,33 ,68 ,58 ,103 ,70 ,59 ,37 ,Clackmannanshire,266,2,1,-,-,-,2,1,2,4,3,6,12,17,24,44,32,57,33,21,5,Clackmannanshire,244,1,-,-,-,-,-,1,1,2,-,5,7,15,9,24,26,46,37,38,32,,,
Dumfries and Galloway,"1,843 ",6 ,2 ,1 ,1 ,6 ,6 ,8 ,10 ,17 ,25 ,23 ,43 ,69 ,110 ,167 ,242 ,312 ,296 ,289 ,210 ,Dumfries and Galloway,884,2,1,-,1,4,5,7,4,15,16,13,26,35,68,100,136,160,127,115,49,Dumfries and Galloway,959,4,1,1,-,2,1,1,6,2,9,10,17,34,42,67,106,152,169,174,161,,,
