"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85-,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"58,503",163,28,23,32,109,182,274,353,561,741,"1,158","1,702","2,351","3,165","4,462","6,297","7,810","9,701","9,658","9,733",SCOTLAND,"28,642",82,15,11,16,77,130,201,240,347,476,733,977,"1,393","1,822","2,577","3,477","4,127","4,761","4,093","3,087",SCOTLAND,"29,861",81,13,12,16,32,52,73,113,214,265,425,725,958,"1,343","1,885","2,820","3,683","4,940","5,565","6,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,170",8,2,-,-,3,2,11,20,21,35,57,66,91,125,180,217,245,335,387,365,Aberdeen City   ,"1,107",5,2,-,-,2,1,7,8,16,23,37,36,61,76,104,122,134,168,179,126,Aberdeen City   ,"1,063",3,-,-,-,1,1,4,12,5,12,20,30,30,49,76,95,111,167,208,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,462",2,-,1,1,5,4,8,19,13,21,33,71,84,128,202,265,306,405,466,428,Aberdeenshire  ,"1,275",-,-,-,1,5,1,5,13,7,13,18,44,54,72,125,162,171,236,200,148,Aberdeenshire  ,"1,187",2,-,1,-,-,3,3,6,6,8,15,27,30,56,77,103,135,169,266,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,367",4,2,1,-,2,1,3,6,7,11,15,29,42,74,97,128,169,222,261,293,Angus  ,648,2,1,-,-,1,1,2,5,4,9,8,20,21,48,52,70,92,113,117,82,Angus  ,719,2,1,1,-,1,-,1,1,3,2,7,9,21,26,45,58,77,109,144,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,121",2,-,-,1,1,2,4,-,7,10,15,23,43,53,90,129,140,197,186,218,Argyll and Bute  ,507,-,-,-,-,-,2,4,-,4,6,8,14,25,32,51,77,56,91,76,61,Argyll and Bute  ,614,2,-,-,1,1,-,-,-,3,4,7,9,18,21,39,52,84,106,110,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,467",20,3,2,5,4,14,23,23,41,60,88,126,178,226,275,439,534,694,789,923,City of Edinburgh2 ,"2,127",10,1,2,3,4,10,17,12,26,40,59,77,113,134,166,246,263,332,317,295,City of Edinburgh2,"2,340",10,2,-,2,-,4,6,11,15,20,29,49,65,92,109,193,271,362,472,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,526,1,1,-,-,1,2,2,3,7,9,14,15,19,29,39,61,83,100,84,56,Clackmannanshire,270,1,-,-,-,1,2,2,3,3,5,9,9,10,13,24,37,48,46,40,17,Clackmannanshire,256,-,1,-,-,-,-,-,-,4,4,5,6,9,16,15,24,35,54,44,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,950",3,1,-,-,4,2,7,8,13,17,24,46,56,95,131,203,264,329,360,387,Dumfries and Galloway,938,2,-,-,-,3,1,6,5,6,11,16,27,31,51,71,113,149,172,158,116,Dumfries and Galloway,"1,012",1,1,-,-,1,1,1,3,7,6,8,19,25,44,60,90,115,157,202,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,721",11,1,-,-,-,6,12,26,29,31,42,54,80,79,122,170,196,290,276,296,Dundee City  ,834,6,-,-,-,-,5,7,18,17,24,27,31,48,40,73,95,100,132,118,93,Dundee City  ,887,5,1,-,-,-,1,5,8,12,7,15,23,32,39,49,75,96,158,158,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,504",2,-,1,-,3,7,12,6,17,16,35,44,55,70,132,176,217,263,231,217,East Ayrshire  ,744,-,-,-,-,2,7,8,4,11,12,25,21,34,38,81,98,111,130,98,64,East Ayrshire  ,760,2,-,1,-,1,-,4,2,6,4,10,23,21,32,51,78,106,133,133,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,"1,066",1,1,2,2,1,2,4,2,5,13,12,27,33,35,70,82,144,187,218,225,East Dunbartonshire,532,-,-,1,-,-,2,2,1,5,9,5,12,18,23,38,46,81,99,113,77,East Dunbartonshire,534,1,1,1,2,1,-,2,1,-,4,7,15,15,12,32,36,63,88,105,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,"1,065",5,-,2,2,-,3,1,4,12,9,12,18,35,47,79,109,142,189,187,209,East Lothian  ,509,3,-,2,1,-,2,1,3,5,5,7,9,21,27,39,53,78,96,83,74,East Lothian  ,556,2,-,-,1,-,1,-,1,7,4,5,9,14,20,40,56,64,93,104,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,909,3,-,-,1,3,4,4,2,4,2,14,25,30,46,51,81,106,157,188,188,East Renfrewshire,437,1,-,-,1,-,3,4,1,3,1,7,18,19,22,31,44,51,87,80,64,East Renfrewshire,472,2,-,-,-,3,1,-,1,1,1,7,7,11,24,20,37,55,70,108,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
