"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,643",13,-,1,3,3,7,8,15,28,29,38,46,75,86,135,172,246,273,245,220,Dundee City  ,811,7,-,1,1,1,7,6,13,19,18,19,28,41,62,75,102,139,128,92,52,Dundee City  ,832,6,-,-,2,2,-,2,2,9,11,19,18,34,24,60,70,107,145,153,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,407",14,2,-,1,6,10,6,7,10,26,31,46,54,97,134,171,213,223,211,145,East Ayrshire  ,671,6,1,-,1,4,9,6,5,7,17,17,22,32,51,71,87,101,113,83,38,East Ayrshire  ,736,8,1,-,-,2,1,-,2,3,9,14,24,22,46,63,84,112,110,128,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,"1,004",3,-,-,2,2,4,5,3,9,13,19,24,35,60,62,123,160,193,156,131,East Dunbartonshire,516,3,-,-,1,2,4,4,2,6,6,14,16,25,36,39,75,87,87,66,43,East Dunbartonshire,488,-,-,-,1,-,-,1,1,3,7,5,8,10,24,23,48,73,106,90,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,"1,028",3,1,1,-,2,6,2,3,4,18,12,22,34,54,79,117,167,182,161,160,East Lothian  ,503,3,-,-,-,2,6,2,2,2,12,5,13,23,36,45,62,91,89,63,47,East Lothian  ,525,-,1,1,-,-,-,-,1,2,6,7,9,11,18,34,55,76,93,98,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,854,6,2,-,2,1,3,-,3,5,4,8,29,30,48,62,82,129,162,146,132,East Renfrewshire,400,3,1,-,1,1,2,-,1,4,3,4,15,22,32,27,45,68,71,65,35,East Renfrewshire,454,3,1,-,1,-,1,-,2,1,1,4,14,8,16,35,37,61,91,81,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk ,"1,620",6,2,-,1,1,7,5,6,14,26,36,42,78,114,133,174,235,274,245,221,Falkirk ,741,4,2,-,1,-,5,4,4,8,18,27,26,36,58,65,89,125,116,93,60,Falkirk ,879,2,-,-,-,1,2,1,2,6,8,9,16,42,56,68,85,110,158,152,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,"3,780",26,2,-,1,8,24,11,19,32,45,67,116,153,225,280,397,576,681,580,537,Fife,"1,798",11,-,-,1,8,19,8,12,18,31,39,70,93,134,163,220,295,303,227,146,Fife,"1,982",15,2,-,-,-,5,3,7,14,14,28,46,60,91,117,177,281,378,353,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,"7,002",46,10,2,3,20,32,40,71,98,144,189,263,344,481,663,875,"1,035","1,038",883,765,Glasgow City,"3,446",24,6,2,3,14,24,30,52,63,97,111,176,218,298,384,479,532,468,280,185,Glasgow City,"3,556",22,4,-,-,6,8,10,19,35,47,78,87,126,183,279,396,503,570,603,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,"2,419",4,1,-,2,17,5,9,13,19,32,56,71,97,141,186,257,358,420,369,362,Highland,"1,142",1,1,-,2,14,4,7,7,16,20,30,46,54,86,108,152,181,189,133,91,Highland,"1,277",3,-,-,-,3,1,2,6,3,12,26,25,43,55,78,105,177,231,236,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverclyde,"1,023",9,-,2,3,4,3,6,8,16,13,12,33,41,67,94,112,140,176,148,136,Inverclyde,490,5,-,1,2,4,3,5,4,14,7,11,23,26,39,53,62,70,80,50,31,Inverclyde,533,4,-,1,1,-,-,1,4,2,6,1,10,15,28,41,50,70,96,98,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
