"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,761",11,-,1,-,2,5,17,15,19,20,27,57,84,91,149,155,241,280,276,311,Dundee City  ,862,6,-,-,-,2,5,14,10,15,14,18,33,49,57,77,88,122,130,122,100,Dundee City  ,899,5,-,1,-,-,-,3,5,4,6,9,24,35,34,72,67,119,150,154,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,406",5,1,-,-,-,5,6,8,11,25,25,35,48,72,123,159,186,274,202,221,East Ayrshire  ,651,3,1,-,-,-,3,4,5,8,18,14,19,25,44,60,85,92,121,75,74,East Ayrshire  ,755,2,-,-,-,-,2,2,3,3,7,11,16,23,28,63,74,94,153,127,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,"1,068",-,-,-,1,3,4,-,4,6,15,16,24,37,49,69,88,157,164,212,219,East Dunbartonshire,503,-,-,-,-,2,4,-,2,5,12,10,16,22,33,32,57,79,78,93,58,East Dunbartonshire,565,-,-,-,1,1,-,-,2,1,3,6,8,15,16,37,31,78,86,119,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,"1,073",4,1,-,-,2,1,3,6,6,13,14,23,35,40,76,81,143,207,197,221,East Lothian  ,528,3,1,-,-,1,-,2,5,3,6,7,13,20,29,51,50,82,104,79,72,East Lothian  ,545,1,-,-,-,1,1,1,1,3,7,7,10,15,11,25,31,61,103,118,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,890,2,-,-,-,2,-,-,6,6,7,17,18,34,24,55,75,121,150,154,219,East Renfrewshire,427,2,-,-,-,2,-,-,3,4,5,10,10,25,15,34,42,66,71,66,72,East Renfrewshire,463,-,-,-,-,-,-,-,3,2,2,7,8,9,9,21,33,55,79,88,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk ,"1,622",4,-,1,-,4,2,5,13,15,24,20,46,63,90,144,187,240,285,246,233,Falkirk ,801,1,-,1,-,2,2,4,9,6,14,13,27,33,53,81,97,130,138,119,71,Falkirk ,821,3,-,-,-,2,-,1,4,9,10,7,19,30,37,63,90,110,147,127,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,"4,027",16,2,3,1,8,12,12,27,41,23,73,130,144,183,339,439,513,642,702,717,Fife,"1,929",10,-,3,1,8,6,10,18,24,13,38,75,90,110,200,239,264,302,296,222,Fife,"2,098",6,2,-,-,-,6,2,9,17,10,35,55,54,73,139,200,249,340,406,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,"6,515",29,6,2,2,6,11,26,54,73,127,198,237,357,370,555,710,820,"1,062",963,907,Glasgow City,"3,215",16,1,1,2,4,8,21,37,46,78,130,147,240,229,330,421,429,459,374,242,Glasgow City,"3,300",13,5,1,-,2,3,5,17,27,49,68,90,117,141,225,289,391,603,589,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,"2,565",11,-,-,-,3,12,17,13,17,22,42,69,92,133,227,251,329,400,436,491,Highland,"1,293",7,-,-,-,2,11,14,10,10,13,31,38,58,91,148,129,189,198,191,153,Highland,"1,272",4,-,-,-,1,1,3,3,7,9,11,31,34,42,79,122,140,202,245,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverclyde,"1,031",2,1,1,-,1,2,5,4,9,8,21,37,45,58,81,100,157,176,148,175,Inverclyde,490,2,-,1,-,1,1,3,1,3,3,10,20,28,34,52,57,79,92,51,52,Inverclyde,541,-,1,-,-,-,1,2,3,6,5,11,17,17,24,29,43,78,84,97,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,896,3,1,-,1,-,2,3,4,6,13,18,23,35,49,70,88,126,153,154,147,Midlothian,447,1,1,-,1,-,2,2,4,3,8,10,14,22,27,36,50,70,82,71,43,Midlothian,449,2,-,-,-,-,-,1,-,3,5,8,9,13,22,34,38,56,71,83,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,"1,054",2,2,-,1,1,3,5,8,7,11,17,22,26,58,93,105,150,161,186,196,Moray,511,1,1,-,1,1,1,4,2,3,4,9,11,20,34,53,63,96,80,72,55,Moray,543,1,1,-,-,-,2,1,6,4,7,8,11,6,24,40,42,54,81,114,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na h-Eileanan Siar2 ,350,2,-,-,-,-,-,-,-,2,6,4,7,15,23,31,36,50,50,60,64,Na h-Eileanan Siar2 ,181,2,-,-,-,-,-,-,-,2,3,2,3,9,16,23,27,27,25,20,22,Na h-Eileanan Siar2 ,169,-,-,-,-,-,-,-,-,-,3,2,4,6,7,8,9,23,25,40,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Ayrshire,"1,740",1,-,-,-,2,4,7,8,13,22,35,46,72,100,142,199,264,284,263,278,North Ayrshire,835,1,-,-,-,1,4,6,6,9,14,25,31,36,63,69,114,134,139,111,72,North Ayrshire,905,-,-,-,-,1,-,1,2,4,8,10,15,36,37,73,85,130,145,152,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lanarkshire,"3,624",16,1,-,3,9,9,21,27,31,54,93,111,157,233,354,448,514,609,533,401,North Lanarkshire,"1,765",8,1,-,2,7,8,9,16,17,35,54,66,90,126,216,241,252,281,222,114,North Lanarkshire,"1,859",8,-,-,1,2,1,12,11,14,19,39,45,67,107,138,207,262,328,311,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orkney Islands,222,1,-,-,-,1,1,1,1,1,2,6,3,8,10,17,32,23,33,34,48,Orkney Islands,109,-,-,-,-,-,-,1,1,1,1,4,1,6,7,11,21,13,13,14,15,Orkney Islands,113,1,-,-,-,1,1,-,-,-,1,2,2,2,3,6,11,10,20,20,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth and Kinross,"1,652",3,1,1,1,2,1,8,6,10,12,32,38,54,67,136,148,233,269,306,324,Perth and Kinross,758,1,-,1,1,1,1,2,5,5,7,23,22,29,35,79,70,120,137,126,93,Perth and Kinross,894,2,1,-,-,1,-,6,1,5,5,9,16,25,32,57,78,113,132,180,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrewshire,"1,995",1,2,-,-,2,2,10,11,20,20,41,60,63,107,145,238,286,345,333,309,Renfrewshire,947,-,1,-,-,1,2,5,7,14,12,20,38,35,63,76,132,144,164,146,87,Renfrewshire,"1,048",1,1,-,-,1,-,5,4,6,8,21,22,28,44,69,106,142,181,187,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Borders,"1,389",2,1,1,1,2,3,4,5,5,17,29,28,42,68,105,154,179,224,251,268,Scottish Borders,693,1,1,1,-,1,-,3,4,4,14,17,15,22,41,60,85,104,110,110,100,Scottish Borders,696,1,-,-,1,1,3,1,1,1,3,12,13,20,27,45,69,75,114,141,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shetland Islands,256,-,-,1,-,-,-,-,-,4,2,4,6,10,13,24,24,33,43,48,44,Shetland Islands,143,-,-,1,-,-,-,-,-,3,2,2,6,5,8,13,16,18,26,26,17,Shetland Islands,113,-,-,-,-,-,-,-,-,1,-,2,-,5,5,11,8,15,17,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ayrshire,"1,498",3,-,-,-,3,2,5,11,10,19,20,27,52,60,119,159,188,245,272,303,South Ayrshire,739,-,-,-,-,1,2,3,8,8,14,14,14,31,36,78,87,110,122,113,98,South Ayrshire,759,3,-,-,-,2,-,2,3,2,5,6,13,21,24,41,72,78,123,159,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire,"3,497",7,2,1,1,2,7,11,19,26,36,64,89,134,191,301,377,500,590,587,552,South Lanarkshire,"1,601",5,2,1,1,2,4,8,13,14,26,31,44,85,119,175,207,236,280,202,146,South Lanarkshire,"1,896",2,-,-,-,-,3,3,6,12,10,33,45,49,72,126,170,264,310,385,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling,925,-,-,-,1,1,3,2,3,7,9,23,24,33,53,67,96,130,161,156,156,Stirling,443,-,-,-,1,1,2,2,1,5,8,10,13,21,26,42,55,62,76,67,51,Stirling,482,-,-,-,-,-,1,-,2,2,1,13,11,12,27,25,41,68,85,89,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Dunbartonshire,"1,095",1,1,-,1,2,5,2,9,7,23,33,39,46,71,91,125,149,180,147,163,West Dunbartonshire,499,1,1,-,-,2,4,-,4,6,14,19,19,26,48,51,71,73,75,51,34,West Dunbartonshire,596,-,-,-,1,-,1,2,5,1,9,14,20,20,23,40,54,76,105,96,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lothian,"1,479",4,1,1,1,5,3,7,9,13,20,37,45,55,84,136,182,214,225,229,208,West Lothian,729,2,1,-,-,4,1,2,7,8,7,24,24,35,49,82,104,118,108,96,57,West Lothian,750,2,-,1,1,1,2,5,2,5,13,13,21,20,35,54,78,96,117,133,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
