"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"57,579",175,36,15,19,83,135,234,354,464,706,"1,145","1,623","2,233","2,975","4,770","6,021","7,745","9,528","9,542","9,776",SCOTLAND,"27,905",99,22,12,12,59,100,159,234,288,448,683,946,"1,329","1,796","2,805","3,404","4,079","4,535","3,946","2,949",SCOTLAND,"29,674",76,14,3,7,24,35,75,120,176,258,462,677,904,"1,179","1,965","2,617","3,666","4,993","5,596","6,827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,187",7,1,1,-,2,9,10,22,29,40,37,68,78,101,196,201,248,367,380,390,Aberdeen City   ,"1,077",3,-,1,-,1,8,9,15,17,26,23,43,46,56,120,118,134,183,146,128,Aberdeen City   ,"1,110",4,1,-,-,1,1,1,7,12,14,14,25,32,45,76,83,114,184,234,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,458",6,4,-,-,6,4,12,14,12,28,32,62,93,120,205,228,329,408,414,481,Aberdeenshire  ,"1,204",2,4,-,-,4,3,6,8,10,22,15,42,46,68,115,134,177,214,175,159,Aberdeenshire  ,"1,254",4,-,-,-,2,1,6,6,2,6,17,20,47,52,90,94,152,194,239,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,347",3,3,-,-,1,3,6,6,7,14,16,30,46,63,110,146,170,207,245,271,Angus  ,659,1,2,-,-,-,3,5,4,4,7,10,17,20,32,65,94,97,112,101,85,Angus  ,688,2,1,-,-,1,-,1,2,3,7,6,13,26,31,45,52,73,95,144,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,173",-,1,-,-,1,3,2,2,4,7,15,27,40,60,94,117,178,214,203,205,Argyll and Bute  ,588,-,1,-,-,-,3,1,2,3,6,7,15,22,32,64,77,109,98,87,61,Argyll and Bute  ,585,-,-,-,-,1,-,1,-,1,1,8,12,18,28,30,40,69,116,116,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,326",20,3,1,3,4,9,18,31,36,53,97,129,152,221,314,402,529,682,782,840,City of Edinburgh2 ,"2,068",16,2,1,1,3,8,13,20,23,34,62,77,89,142,191,223,260,295,334,274,City of Edinburgh2,"2,258",4,1,-,2,1,1,5,11,13,19,35,52,63,79,123,179,269,387,448,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,546,3,-,-,-,3,3,3,2,4,5,7,20,27,35,48,76,78,81,92,59,Clackmannanshire,275,2,-,-,-,2,1,1,2,2,5,5,10,12,18,25,42,43,45,44,16,Clackmannanshire,271,1,-,-,-,1,2,2,-,2,-,2,10,15,17,23,34,35,36,48,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,912",6,1,-,1,3,5,6,6,7,9,32,43,56,78,154,195,267,357,331,355,Dumfries and Galloway,935,2,1,-,1,3,3,5,5,3,3,16,23,32,55,96,108,150,177,146,106,Dumfries and Galloway,977,4,-,-,-,-,2,1,1,4,6,16,20,24,23,58,87,117,180,185,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
