"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,572",11,1,1,-,3,5,9,19,17,29,42,34,83,110,127,218,231,241,206,185,Dundee City  ,751,8,-,-,-,1,5,9,15,14,19,28,19,53,73,64,125,112,95,67,44,Dundee City  ,821,3,1,1,-,2,-,-,4,3,10,14,15,30,37,63,93,119,146,139,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,356",7,1,1,1,3,8,3,8,14,20,29,46,54,89,112,159,212,254,171,164,East Ayrshire  ,639,4,1,-,-,2,4,3,4,11,12,16,25,29,45,70,99,106,112,54,42,East Ayrshire  ,717,3,-,1,1,1,4,-,4,3,8,13,21,25,44,42,60,106,142,117,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,985,1,-,1,-,2,4,7,2,6,11,12,25,32,46,81,128,136,212,147,132,East Dunbartonshire,455,-,-,-,-,1,4,6,1,3,9,8,14,20,26,41,67,69,104,51,31,East Dunbartonshire,530,1,-,1,-,1,-,1,1,3,2,4,11,12,20,40,61,67,108,96,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,"1,017",6,-,1,-,2,4,3,4,5,10,17,37,28,53,79,97,161,207,158,145,East Lothian  ,488,3,-,1,-,2,3,1,3,-,7,9,23,20,33,53,56,89,97,55,33,East Lothian  ,529,3,-,-,-,-,1,2,1,5,3,8,14,8,20,26,41,72,110,103,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,840,4,-,-,-,3,4,1,5,7,17,19,20,33,36,58,75,114,145,153,146,East Renfrewshire,393,3,-,-,-,2,3,1,3,3,14,11,13,22,20,38,37,57,68,57,41,East Renfrewshire,447,1,-,-,-,1,1,-,2,4,3,8,7,11,16,20,38,57,77,96,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk ,"1,657",3,2,1,-,4,6,2,12,23,21,34,47,78,111,145,163,240,316,242,207,Falkirk ,792,1,1,1,-,3,5,2,11,19,13,26,28,50,69,81,85,115,147,88,47,Falkirk ,865,2,1,-,-,1,1,-,1,4,8,8,19,28,42,64,78,125,169,154,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,"3,759",22,2,2,2,10,19,16,19,44,49,70,104,173,239,284,409,549,658,569,519,Fife,"1,803",12,1,1,2,8,13,10,16,33,35,45,58,96,155,166,217,285,299,221,130,Fife,"1,956",10,1,1,-,2,6,6,3,11,14,25,46,77,84,118,192,264,359,348,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,"6,999",23,11,5,5,19,45,39,69,110,148,185,243,382,462,666,863,"1,038","1,111",826,749,Glasgow City,"3,380",14,3,4,4,13,31,29,48,72,110,108,164,234,288,384,458,517,457,269,173,Glasgow City,"3,619",9,8,1,1,6,14,10,21,38,38,77,79,148,174,282,405,521,654,557,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,"2,363",8,1,-,1,10,11,13,14,24,33,48,69,128,142,199,239,340,418,331,334,Highland,"1,150",4,1,-,1,8,9,10,10,13,20,30,45,86,85,134,126,175,189,126,78,Highland,"1,213",4,-,-,-,2,2,3,4,11,13,18,24,42,57,65,113,165,229,205,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverclyde,989,4,1,-,-,4,2,8,5,10,22,26,30,60,67,100,131,129,141,126,123,Inverclyde,466,2,1,-,-,2,2,3,3,9,15,19,17,35,35,50,73,70,66,38,26,Inverclyde,523,2,-,-,-,2,-,5,2,1,7,7,13,25,32,50,58,59,75,88,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,848,7,4,-,-,-,6,2,1,8,10,12,29,39,41,55,81,138,160,153,102,Midlothian,398,5,3,-,-,-,6,2,1,5,4,4,22,23,19,32,44,74,74,58,22,Midlothian,450,2,1,-,-,-,-,-,-,3,6,8,7,16,22,23,37,64,86,95,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,965,4,-,2,1,5,3,7,6,11,9,19,27,35,65,67,104,162,171,157,110,Moray,461,2,-,1,1,3,2,7,5,6,5,10,15,20,43,38,62,80,79,58,24,Moray,504,2,-,1,-,2,1,-,1,5,4,9,12,15,22,29,42,82,92,99,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na h-Eileanan Siar2 ,340,3,1,-,-,1,1,1,-,2,5,10,17,18,23,25,23,39,64,45,62,Na h-Eileanan Siar2 ,153,2,-,-,-,1,1,1,-,2,1,7,8,14,17,16,16,19,28,12,8,Na h-Eileanan Siar2 ,187,1,1,-,-,-,-,-,-,-,4,3,9,4,6,9,7,20,36,33,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Ayrshire,"1,579",10,-,1,2,7,10,7,13,16,26,27,49,65,115,146,176,216,279,218,196,North Ayrshire,747,7,-,1,2,4,7,3,11,8,20,20,30,31,66,90,98,100,103,97,49,North Ayrshire,832,3,-,-,-,3,3,4,2,8,6,7,19,34,49,56,78,116,176,121,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lanarkshire,"3,421",24,4,4,5,11,13,17,21,46,84,86,124,178,240,315,416,496,589,441,307,North Lanarkshire,"1,694",16,2,3,3,7,13,15,14,36,52,49,80,106,140,189,242,242,258,154,73,North Lanarkshire,"1,727",8,2,1,2,4,-,2,7,10,32,37,44,72,100,126,174,254,331,287,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orkney Islands,231,-,-,1,1,1,-,-,4,2,3,2,4,10,18,19,19,39,31,41,36,Orkney Islands,109,-,-,1,-,1,-,-,3,1,1,2,3,5,10,13,8,22,15,13,11,Orkney Islands,122,-,-,-,1,-,-,-,1,1,2,-,1,5,8,6,11,17,16,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth and Kinross,"1,625",2,2,1,1,2,7,8,11,16,14,26,38,66,92,95,182,233,303,242,284,Perth and Kinross,800,1,1,-,1,2,4,6,7,13,9,17,24,40,62,54,94,131,156,92,86,Perth and Kinross,825,1,1,1,-,-,3,2,4,3,5,9,14,26,30,41,88,102,147,150,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrewshire,"1,972",3,-,2,3,3,5,11,17,23,31,38,54,98,137,204,247,323,291,253,229,Renfrewshire,952,1,-,-,1,3,5,7,12,18,17,24,33,64,86,102,123,160,123,112,61,Renfrewshire,"1,020",2,-,2,2,-,-,4,5,5,14,14,21,34,51,102,124,163,168,141,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Borders,"1,292",3,1,-,-,2,4,6,5,4,12,20,33,42,75,93,146,198,220,230,198,Scottish Borders,615,1,-,-,-,2,4,3,3,1,6,11,21,26,39,54,83,104,108,92,57,Scottish Borders,677,2,1,-,-,-,-,3,2,3,6,9,12,16,36,39,63,94,112,138,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shetland Islands,203,3,1,1,-,1,-,2,2,1,1,5,6,7,16,17,16,23,36,33,32,Shetland Islands,95,2,1,1,-,1,-,2,1,1,1,3,5,5,11,8,8,14,14,9,8,Shetland Islands,108,1,-,-,-,-,-,-,1,-,-,2,1,2,5,9,8,9,22,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ayrshire,"1,375",1,1,-,-,2,7,5,9,11,11,17,27,49,94,104,145,195,265,233,199,South Ayrshire,637,1,-,-,-,1,6,3,8,6,5,11,15,23,54,63,64,102,128,96,51,South Ayrshire,738,-,1,-,-,1,1,2,1,5,6,6,12,26,40,41,81,93,137,137,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire,"3,282",15,6,-,-,6,14,14,20,37,50,82,113,140,218,272,388,517,523,444,423,South Lanarkshire,"1,539",10,1,-,-,4,8,13,16,27,33,53,69,81,122,150,207,268,225,156,96,South Lanarkshire,"1,743",5,5,-,-,2,6,1,4,10,17,29,44,59,96,122,181,249,298,288,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling,863,3,-,1,1,3,4,2,4,11,14,21,21,28,34,69,109,126,155,120,137,Stirling,408,1,-,1,-,2,3,2,3,9,8,9,13,17,23,36,64,53,73,54,37,Stirling,455,2,-,-,1,1,1,-,1,2,6,12,8,11,11,33,45,73,82,66,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Dunbartonshire,"1,091",5,1,1,1,4,7,3,7,12,27,29,41,45,71,97,118,153,193,147,129,West Dunbartonshire,494,1,-,-,-,4,6,2,6,6,13,18,22,32,46,54,70,65,83,45,21,West Dunbartonshire,597,4,1,1,1,-,1,1,1,6,14,11,19,13,25,43,48,88,110,102,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lothian,"1,368",12,-,-,1,7,8,6,5,17,20,37,31,68,97,127,163,209,226,183,151,West Lothian,627,6,-,-,-,4,8,5,5,10,12,24,17,35,59,63,91,93,91,67,37,West Lothian,741,6,-,-,1,3,-,1,-,7,8,13,14,33,38,64,72,116,135,116,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
