"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"55,093",248,47,29,38,152,264,257,374,593,842,"1,163","1,624","2,491","3,427","4,529","6,159","8,127","9,529","7,912","7,288",SCOTLAND,"26,251",145,21,18,21,112,206,189,272,398,540,710,987,"1,506","2,061","2,615","3,351","4,100","4,253","2,934","1,812",SCOTLAND,"28,842",103,26,11,17,40,58,68,102,195,302,453,637,985,"1,366","1,914","2,808","4,027","5,276","4,978","5,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,089",19,1,1,3,3,15,13,17,19,30,50,72,83,116,139,242,305,361,331,269,Aberdeen City   ,"1,022",12,1,1,-,2,14,8,13,11,22,39,48,50,71,85,128,152,167,130,68,Aberdeen City   ,"1,067",7,-,-,3,1,1,5,4,8,8,11,24,33,45,54,114,153,194,201,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,192",7,-,1,3,10,11,18,21,20,26,35,52,80,133,173,222,293,372,355,360,Aberdeenshire  ,"1,037",5,-,1,-,10,10,11,17,12,15,21,29,53,79,106,118,149,177,126,98,Aberdeenshire  ,"1,155",2,-,-,3,-,1,7,4,8,11,14,23,27,54,67,104,144,195,229,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,190",3,-,-,1,-,8,5,7,7,17,28,24,53,60,87,113,178,221,198,180,Angus  ,537,1,-,-,1,-,7,4,3,4,8,14,12,34,35,44,63,84,94,83,46,Angus  ,653,2,-,-,-,-,1,1,4,3,9,14,12,19,25,43,50,94,127,115,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,063",5,2,-,1,5,3,2,5,6,9,20,26,51,68,88,120,145,187,154,166,Argyll and Bute  ,481,2,1,-,1,3,3,2,4,2,6,8,13,29,40,52,59,71,85,58,42,Argyll and Bute  ,582,3,1,-,-,2,-,-,1,4,3,12,13,22,28,36,61,74,102,96,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,217",23,4,1,4,11,15,19,27,47,59,67,125,201,227,302,405,601,760,645,674,City of Edinburgh2 ,"1,986",13,3,1,4,9,8,13,15,32,32,40,71,127,137,176,230,310,343,252,170,City of Edinburgh2,"2,231",10,1,-,-,2,7,6,12,15,27,27,54,74,90,126,175,291,417,393,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,512,-,-,-,1,3,4,4,6,6,6,15,16,21,37,47,50,88,85,59,64,Clackmannanshire,253,-,-,-,-,3,3,2,4,4,3,9,10,11,21,34,24,48,34,26,17,Clackmannanshire,259,-,-,-,1,-,1,2,2,2,3,6,6,10,16,13,26,40,51,33,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,838",7,-,-,-,5,11,4,9,11,18,35,40,63,95,137,192,300,334,301,276,Dumfries and Galloway,889,5,-,-,-,4,9,4,7,7,13,17,21,35,52,75,112,164,161,118,85,Dumfries and Galloway,949,2,-,-,-,1,2,-,2,4,5,18,19,28,43,62,80,136,173,183,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
