SCOTLAND,"53,661",238,37,27,26,121,205,277,355,522,782,"1,105","1,541","2,116","3,314","4,227","5,792","7,440","9,035","8,761","7,740",SCOTLAND,"25,913",139,19,17,14,78,153,188,251,334,513,635,850,"1,256","1,955","2,460","3,291","3,817","4,300","3,513","2,130",SCOTLAND,"27,748",99,18,10,12,43,52,89,104,188,269,470,691,860,"1,359","1,767","2,501","3,623","4,735","5,248","5,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,660",10,1,1,2,3,11,11,15,25,27,39,42,59,97,120,202,239,275,270,211,Dundee City  ,819,5,1,1,2,2,7,5,10,16,16,18,21,35,53,75,110,126,132,119,65,Dundee City  ,841,5,-,-,-,1,4,6,5,9,11,21,21,24,44,45,92,113,143,151,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,319",7,1,2,1,5,5,8,7,10,18,27,35,41,82,127,145,195,223,195,185,East Ayrshire  ,634,3,-,2,1,3,3,7,5,7,13,17,21,22,43,71,82,91,111,84,48,East Ayrshire  ,685,4,1,-,-,2,2,1,2,3,5,10,14,19,39,56,63,104,112,111,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,950,-,1,-,2,-,2,3,5,8,6,14,28,36,55,71,95,139,193,158,134,East Dunbartonshire,465,-,1,-,1,-,2,2,4,6,3,7,14,21,35,37,56,81,90,66,39,East Dunbartonshire,485,-,-,-,1,-,-,1,1,2,3,7,14,15,20,34,39,58,103,92,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,966,5,1,-,1,3,4,7,5,12,10,19,25,39,58,72,84,132,163,173,153,East Lothian  ,454,2,1,-,1,-,3,5,3,9,5,10,14,25,32,41,45,64,84,63,47,East Lothian  ,512,3,-,-,-,3,1,2,2,3,5,9,11,14,26,31,39,68,79,110,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,825,1,-,-,-,-,1,8,2,6,8,18,21,23,43,40,100,104,143,169,138,East Renfrewshire,379,-,-,-,-,-,-,7,2,4,3,10,13,15,24,28,48,54,66,70,35,East Renfrewshire,446,1,-,-,-,-,1,1,-,2,5,8,8,8,19,12,52,50,77,99,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk ,"1,548",7,2,3,-,6,3,5,12,13,23,28,43,74,93,130,192,216,265,251,182,Falkirk ,771,3,-,-,-,3,2,5,9,7,14,14,23,36,55,83,112,116,138,106,45,Falkirk ,777,4,2,3,-,3,1,-,3,6,9,14,20,38,38,47,80,100,127,145,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,"3,759",16,2,2,-,8,12,19,27,27,38,72,101,153,209,300,365,549,630,664,565,Fife,"1,824",11,2,2,-,5,7,10,19,20,27,40,51,95,120,176,215,271,319,276,158,Fife,"1,935",5,-,-,-,3,5,9,8,7,11,32,50,58,89,124,150,278,311,388,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,"6,403",45,2,1,2,7,31,49,56,97,132,206,251,322,446,522,725,880,"1,002",888,739,Glasgow City,"3,201",25,1,1,2,4,21,34,39,59,82,135,151,203,277,317,417,439,466,336,192,Glasgow City,"3,202",20,1,-,-,3,10,15,17,38,50,71,100,119,169,205,308,441,536,552,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,"2,440",14,4,4,-,6,11,11,15,17,23,41,79,92,149,192,267,318,382,421,394,Highland,"1,197",9,2,2,-,6,10,9,10,10,17,25,41,54,89,108,145,193,187,183,97,Highland,"1,243",5,2,2,-,-,1,2,5,7,6,16,38,38,60,84,122,125,195,238,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverclyde,"1,013",1,1,-,-,3,4,5,5,16,15,32,27,45,67,82,118,142,172,133,145,Inverclyde,488,1,1,-,-,3,4,2,3,10,9,25,18,23,38,56,73,80,73,39,30,Inverclyde,525,-,-,-,-,-,-,3,2,6,6,7,9,22,29,26,45,62,99,94,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
