"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,-,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
Glasgow City,"7,072",30,7,1,5,11,28,28,62,122,139,196,230,329,476,657,879,"1,140","1,150",835,747,Glasgow City,"3,354",15,4,1,2,7,20,19,34,79,91,124,157,210,295,372,469,555,458,282,160,Glasgow City,"3,718",15,3,-,3,4,8,9,28,43,48,72,73,119,181,285,410,585,692,553,587,,,
Highland,"2,246",10,-,5,2,8,3,9,12,25,30,48,66,112,139,192,256,326,367,310,326,Highland,"1,106",4,-,2,-,6,1,4,9,16,16,27,41,75,86,120,150,177,165,125,82,Highland,"1,140",6,-,3,2,2,2,5,3,9,14,21,25,37,53,72,106,149,202,185,244,,,
Inverclyde,"1,049",7,2,-,1,-,6,2,14,10,21,25,35,54,64,101,117,148,187,132,123,Inverclyde,487,3,1,-,1,-,5,1,8,4,12,16,25,36,33,59,61,83,71,42,26,Inverclyde,562,4,1,-,-,-,1,1,6,6,9,9,10,18,31,42,56,65,116,90,97,,,
Midlothian,826,6,2,1,1,-,3,5,2,11,11,7,23,41,45,80,107,143,158,91,89,Midlothian,374,6,-,1,1,-,3,2,2,8,3,3,14,18,32,41,57,66,69,27,21,Midlothian,452,-,2,-,-,-,-,3,-,3,8,4,9,23,13,39,50,77,89,64,68,,,
Moray,943,4,2,1,-,5,5,2,5,8,12,14,14,44,57,73,117,155,175,135,115,Moray,466,3,-,1,-,3,3,2,4,6,10,7,10,24,35,38,67,95,79,55,24,Moray,477,1,2,-,-,2,2,-,1,2,2,7,4,20,22,35,50,60,96,80,91,,,
Na h-Eileanan Siar2 ,391,1,-,2,-,1,4,3,2,3,2,6,14,17,24,28,37,50,76,40,81,Na h-Eileanan Siar2 ,194,-,-,1,-,1,4,2,2,2,1,6,5,10,16,20,22,27,37,17,21,Na h-Eileanan Siar2 ,197,1,-,1,-,-,-,1,-,1,1,-,9,7,8,8,15,23,39,23,60,,,
North Ayrshire,"1,601",10,2,-,1,3,4,4,12,14,19,33,42,74,101,153,183,249,252,235,210,North Ayrshire,768,4,1,-,-,1,2,3,7,4,13,17,25,43,63,98,111,129,124,76,47,North Ayrshire,833,6,1,-,1,2,2,1,5,10,6,16,17,31,38,55,72,120,128,159,163,,,
North Lanarkshire,"3,400",22,7,-,2,14,17,7,35,35,64,76,99,202,272,386,409,481,587,398,287,North Lanarkshire,"1,669",13,5,-,1,8,14,4,28,22,43,50,52,139,157,224,221,230,247,148,63,North Lanarkshire,"1,731",9,2,-,1,6,3,3,7,13,21,26,47,63,115,162,188,251,340,250,224,,,
Orkney Islands,208,1,-,-,-,-,1,-,-,2,3,4,7,8,14,12,12,28,42,32,42,Orkney Islands,115,-,-,-,-,-,1,-,-,2,2,3,5,5,11,5,10,16,24,14,17,Orkney Islands,93,1,-,-,-,-,-,-,-,-,1,1,2,3,3,7,2,12,18,18,25,,,
Perth and Kinross,"1,555",5,-,1,3,3,5,7,6,15,20,23,40,68,68,97,162,241,305,243,243,Perth and Kinross,721,3,-,-,3,2,4,5,5,13,10,9,27,43,40,59,93,106,142,94,63,Perth and Kinross,834,2,-,1,-,1,1,2,1,2,10,14,13,25,28,38,69,135,163,149,180,,,
