"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"59,164",320,63,62,58,189,268,334,388,543,785,"1,125","1,777","2,433","3,811","5,777","7,924","9,612","8,886","8,333","6,476",SCOTLAND,"28,132 ",183 ,37 ,34 ,39 ,134 ,200 ,247 ,277 ,355 ,488 ,676 ,"1,120 ","1,492 ","2,336 ","3,363 ","4,383 ","4,828 ","3,757 ","2,812 ","1,371",SCOTLAND,"31,032 ",137 ,26 ,28 ,19 ,55 ,68 ,87 ,111 ,188 ,297 ,449 ,657 ,941 ,"1,475 ","2,414 ","3,541 ","4,784 ","5,129 ","5,521 ","5,105",,,
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,208",12,-,1,3,5,14,16,13,17,24,59,52,81,134,199,277,359,339,343,260,Aberdeen City   ,"1,011",8,-,-,1,2,9,12,11,11,14,40,41,55,74,109,157,188,127,105,47,Aberdeen City   ,"1,197",4,-,1,2,3,5,4,2,6,10,19,11,26,60,90,120,171,212,238,213,,,
Aberdeenshire  ,"2,100",12,3,4,2,9,15,16,16,21,32,34,60,74,94,205,260,314,289,331,309,Aberdeenshire  ,"1,024",10,2,3,2,8,11,13,11,11,17,20,38,45,59,123,136,178,133,129,75,Aberdeenshire  ,"1,076",2,1,1,-,1,4,3,5,10,15,14,22,29,35,82,124,136,156,202,234,,,
Angus  ,"1,336",6,-,-,-,1,7,6,4,6,9,20,23,49,83,111,171,232,186,243,179,Angus  ,612,4,-,-,-,-,4,5,1,3,4,11,16,31,46,72,98,116,75,87,39,Angus  ,724,2,-,-,-,1,3,1,3,3,5,9,7,18,37,39,73,116,111,156,140,,,
Argyll and Bute  ,"1,301",4,3,-,1,2,5,3,9,9,13,20,38,46,72,115,143,191,211,209,207,Argyll and Bute  ,588,1,2,-,1,1,4,3,9,7,4,16,28,29,44,67,76,102,87,72,35,Argyll and Bute  ,713,3,1,-,-,1,1,-,-,2,9,4,10,17,28,48,67,89,124,137,172,,,
City of Edinburgh2,"4,892",33,2,4,2,14,21,34,47,41,58,82,131,163,272,391,613,807,746,757,674,City of Edinburgh2 ,"2,180",15,-,1,1,9,15,22,29,29,32,51,78,101,178,222,336,395,301,253,112,City of Edinburgh2,"2,712",18,2,3,1,5,6,12,18,12,26,31,53,62,94,169,277,412,445,504,562,,,
Clackmannanshire,514,3,-,-,-,1,3,1,4,2,11,15,11,24,36,50,62,85,85,78,43,Clackmannanshire,237,3,-,-,-,1,3,1,2,2,5,10,6,13,25,29,32,40,31,26,8,Clackmannanshire,277,-,-,-,-,-,-,-,2,-,6,5,5,11,11,21,30,45,54,52,35,,,
Dumfries and Galloway,"1,817",7,2,2,-,10,4,11,7,16,19,32,52,45,92,200,248,317,277,262,214,Dumfries and Galloway,874,5,2,1,-,8,-,6,2,9,12,18,37,25,57,113,135,175,130,92,47,Dumfries and Galloway,943,2,-,1,-,2,4,5,5,7,7,14,15,20,35,87,113,142,147,170,167,,,
Dundee City  ,"1,942",8,2,3,3,2,9,9,15,18,30,31,68,67,131,198,292,317,270,258,211,Dundee City  ,906,2,1,1,2,2,5,7,13,11,21,20,34,41,84,119,147,165,110,83,38,Dundee City  ,"1,036",6,1,2,1,-,4,2,2,7,9,11,34,26,47,79,145,152,160,175,173,,,
East Ayrshire  ,"1,430",5,2,-,-,2,6,4,5,12,22,23,40,49,104,144,224,269,219,182,118,East Ayrshire  ,678,3,1,-,-,2,5,1,3,8,10,14,23,29,53,87,127,118,100,64,30,East Ayrshire  ,752,2,1,-,-,-,1,3,2,4,12,9,17,20,51,57,97,151,119,118,88,,,
East Dunbartonshire,963,5,-,1,2,6,7,7,6,4,14,30,33,39,61,76,132,164,134,147,95,East Dunbartonshire,487,-,-,1,1,4,7,4,5,3,7,18,20,24,38,49,79,82,67,56,22,East Dunbartonshire,476,5,-,-,1,2,-,3,1,1,7,12,13,15,23,27,53,82,67,91,73,,,
East Lothian  ,"1,058",3,-,1,-,3,1,7,3,10,15,16,28,41,57,94,135,186,169,176,113,East Lothian  ,508,3,-,-,-,2,1,5,3,6,10,11,19,26,35,58,68,91,83,62,25,East Lothian  ,550,-,-,1,-,1,-,2,-,4,5,5,9,15,22,36,67,95,86,114,88,,,
East Renfrewshire,846,3,1,1,2,-,4,4,2,2,13,13,21,35,53,76,112,114,151,130,109,East Renfrewshire,389,2,-,1,1,-,4,4,2,2,11,7,13,16,32,45,56,56,69,45,23,East Renfrewshire,457,1,1,-,1,-,-,-,-,-,2,6,8,19,21,31,56,58,82,85,86,,,
Falkirk ,"1,618",9,5,-,1,3,6,6,12,16,16,25,44,56,106,159,228,271,255,230,170,Falkirk ,768,7,4,-,1,3,5,5,5,10,7,13,31,38,63,80,127,145,94,83,47,Falkirk ,850,2,1,-,-,-,1,1,7,6,9,12,13,18,43,79,101,126,161,147,123,,,
Fife,"3,998",14,8,4,4,16,20,21,20,44,45,65,114,144,225,360,560,680,639,576,439,Fife,"1,882",8,6,3,2,11,18,14,13,23,28,41,61,92,141,208,296,344,281,190,102,Fife,"2,116",6,2,1,2,5,2,7,7,21,17,24,53,52,84,152,264,336,358,386,337,,,
Glasgow City,"8,365",50,14,11,11,27,53,62,82,89,149,183,284,418,591,909,"1,181","1,324","1,185","1,031",711,Glasgow City,"4,078",30,6,6,10,15,38,47,59,53,105,109,182,272,370,520,651,643,516,312,134,Glasgow City,"4,287",20,8,5,1,12,15,15,23,36,44,74,102,146,221,389,530,681,669,719,577,,,
