"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,-,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"56,187",266,48,36,45,157,243,252,376,601,780,"1,152","1,589","2,501","3,419","4,738","6,693","8,539","10,118","7,285","7,349",SCOTLAND,"26,775",160,29,21,23,105,181,189,260,393,496,709,967,"1,513","2,116","2,774","3,733","4,316","4,417","2,597","1,776",SCOTLAND,"29,412",106,19,15,22,52,62,63,116,208,284,443,622,988,"1,303","1,964","2,960","4,223","5,701","4,688","5,573",,,
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,143",12,-,-,3,12,10,13,12,26,28,45,63,102,117,161,209,326,423,279,302,Aberdeen City   ,"1,012",8,-,-,1,8,9,9,6,16,18,27,43,70,69,107,116,167,184,93,61,Aberdeen City   ,"1,131",4,-,-,2,4,1,4,6,10,10,18,20,32,48,54,93,159,239,186,241,,,
Aberdeenshire  ,"2,152",11,3,1,1,9,15,9,20,19,30,41,39,104,123,164,232,341,396,275,319,Aberdeenshire  ,"1,039",10,2,1,-,5,11,6,14,11,15,20,26,66,77,94,135,177,181,110,78,Aberdeenshire  ,"1,113",1,1,-,1,4,4,3,6,8,15,21,13,38,46,70,97,164,215,165,241,,,
Angus  ,"1,330",5,1,2,1,6,6,6,6,9,11,24,27,45,67,91,148,203,245,200,227,Angus  ,609,1,1,1,1,2,1,5,4,7,3,15,11,27,43,51,88,85,123,80,60,Angus  ,721,4,-,1,-,4,5,1,2,2,8,9,16,18,24,40,60,118,122,120,167,,,
Argyll and Bute  ,"1,131",5,-,-,-,4,3,2,7,11,13,20,28,50,71,103,112,158,221,154,169,Argyll and Bute  ,568,5,-,-,-,4,1,2,6,8,7,16,17,27,53,58,65,97,108,54,40,Argyll and Bute  ,563,-,-,-,-,-,2,-,1,3,6,4,11,23,18,45,47,61,113,100,129,,,
City of Edinburgh2,"4,387",27,3,3,4,5,17,26,18,46,52,69,118,178,253,321,507,649,787,617,687,City of Edinburgh2 ,"2,066",15,1,2,2,3,12,19,15,30,33,38,83,108,160,190,298,329,352,206,170,City of Edinburgh2,"2,321",12,2,1,2,2,5,7,3,16,19,31,35,70,93,131,209,320,435,411,517,,,
Clackmannanshire,508,5,-,1,-,2,1,5,5,10,7,10,18,25,33,44,56,79,85,66,56,Clackmannanshire,256,5,-,-,-,1,1,5,4,6,5,9,14,16,19,26,33,34,39,29,10,Clackmannanshire,252,-,-,1,-,1,-,-,1,4,2,1,4,9,14,18,23,45,46,37,46,,,
Dumfries and Galloway,"1,855",2,1,1,2,4,8,4,6,10,18,28,43,54,115,145,225,282,391,255,261,Dumfries and Galloway,859,-,1,-,1,4,5,4,5,6,8,16,23,31,65,82,116,148,172,95,77,Dumfries and Galloway,996,2,-,1,1,-,3,-,1,4,10,12,20,23,50,63,109,134,219,160,184,,,
