"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,-,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
Renfrewshire,"2,063",14,2,4,4,6,11,1,20,19,34,36,81,102,143,194,257,287,357,272,219,Renfrewshire,"1,024",13,2,4,2,3,9,1,18,12,24,26,68,58,77,118,147,154,143,97,48,Renfrewshire,"1,039",1,-,-,2,3,2,-,2,7,10,10,13,44,66,76,110,133,214,175,171,,,
Scottish Borders,"1,384",7,2,1,2,-,3,4,7,9,15,20,33,43,86,89,175,216,244,220,208,Scottish Borders,646,5,2,1,2,-,3,4,6,7,9,11,19,25,54,51,100,103,122,68,54,Scottish Borders,738,2,-,-,-,-,-,-,1,2,6,9,14,18,32,38,75,113,122,152,154,,,
Shetland Islands,214,-,-,-,-,1,4,-,2,1,5,2,10,7,10,16,16,42,33,32,33,Shetland Islands,104,-,-,-,-,1,4,-,2,1,3,2,5,4,8,9,9,20,16,14,6,Shetland Islands,110,-,-,-,-,-,-,-,-,-,2,-,5,3,2,7,7,22,17,18,27,,,
South Ayrshire,"1,507",7,-,-,-,3,5,5,6,14,25,26,36,45,85,138,176,244,263,225,204,South Ayrshire,706,3,-,-,-,3,3,2,6,8,23,14,25,27,42,81,101,116,126,82,44,South Ayrshire,801,4,-,-,-,-,2,3,-,6,2,12,11,18,43,57,75,128,137,143,160,,,
South Lanarkshire,"3,384",17,2,6,1,5,13,27,25,32,46,58,113,144,230,304,415,541,558,461,386,South Lanarkshire,"1,591",11,2,1,-,1,9,18,19,21,26,32,68,88,137,176,230,279,246,151,76,South Lanarkshire,"1,793",6,-,5,1,4,4,9,6,11,20,26,45,56,93,128,185,262,312,310,310,,,
Stirling,905,1,-,-,1,2,6,6,6,8,11,20,26,42,53,79,109,133,140,140,122,Stirling,427,-,-,-,1,2,4,4,2,6,3,12,13,28,33,48,55,62,66,53,35,Stirling,478,1,-,-,-,-,2,2,4,2,8,8,13,14,20,31,54,71,74,87,87,,,
West Dunbartonshire,"1,145",8,3,1,-,5,10,5,6,22,19,25,39,55,77,92,169,164,191,156,98,West Dunbartonshire,552,3,3,1,-,3,9,4,5,11,14,17,31,39,47,53,91,77,74,48,22,West Dunbartonshire,593,5,-,-,-,2,1,1,1,11,5,8,8,16,30,39,78,87,117,108,76,,,
West Lothian,"1,527",10,1,-,-,7,4,11,3,17,26,32,55,75,116,134,182,262,244,200,148,West Lothian,695,6,1,-,-,3,4,8,2,11,15,14,28,50,62,72,96,130,92,61,40,West Lothian,832,4,-,-,-,4,-,3,1,6,11,18,27,25,54,62,86,132,152,139,108,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
