"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,-,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"58,103",270,66,32,47,169,276,312,419,583,807,"1,119","1,804","2,486","3,657","5,063","7,109","8,923","9,509","8,208","7,244",SCOTLAND,"27,743",167,34,17,27,111,211,238,308,373,528,666,"1,123","1,547","2,257","2,994","3,946","4,538","4,110","2,853","1,695",SCOTLAND,"30,360",103,32,15,20,58,65,74,111,210,279,453,681,939,"1,400","2,069","3,163","4,385","5,399","5,355","5,549",,,
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,208",4,5,1,2,6,8,19,22,22,38,41,64,93,134,170,267,311,353,347,301,Aberdeen City   ,"1,084",4,1,1,1,3,7,16,16,18,29,24,35,61,97,100,150,154,149,146,72,Aberdeen City   ,"1,124",-,4,-,1,3,1,3,6,4,9,17,29,32,37,70,117,157,204,201,229,,,
Aberdeenshire  ,"2,074",8,1,-,4,8,12,7,11,15,25,31,63,80,112,170,252,309,332,302,332,Aberdeenshire  ,988,3,1,-,3,6,9,5,9,10,19,16,43,47,65,103,151,175,132,121,70,Aberdeenshire  ,"1,086",5,-,-,1,2,3,2,2,5,6,15,20,33,47,67,101,134,200,181,262,,,
Angus  ,"1,347",4,-,2,2,-,5,7,8,12,10,18,30,57,71,124,138,195,223,223,218,Angus  ,619,4,-,-,1,-,5,4,7,6,7,10,12,38,44,80,82,102,96,74,47,Angus  ,728,-,-,2,1,-,-,3,1,6,3,8,18,19,27,44,56,93,127,149,171,,,
Argyll and Bute  ,"1,188",3,1,-,-,4,1,3,7,11,14,25,35,50,68,85,127,167,200,198,189,Argyll and Bute  ,539,1,1,-,-,1,-,2,4,4,5,14,25,38,49,50,78,75,91,60,41,Argyll and Bute  ,649,2,-,-,-,3,1,1,3,7,9,11,10,12,19,35,49,92,109,138,148,,,
City of Edinburgh2,"4,545",23,5,1,5,13,26,21,29,52,62,88,134,178,243,331,469,746,729,711,679,City of Edinburgh2 ,"2,086",14,3,1,3,9,19,17,19,34,43,52,81,112,136,200,260,370,330,231,152,City of Edinburgh2,"2,459",9,2,-,2,4,7,4,10,18,19,36,53,66,107,131,209,376,399,480,527,,,
Clackmannanshire,511,2,-,-,-,1,8,5,1,3,10,8,13,29,32,58,67,72,88,74,40,Clackmannanshire,254,1,-,-,-,1,6,3,1,3,8,5,7,19,20,29,37,37,35,32,10,Clackmannanshire,257,1,-,-,-,-,2,2,-,-,2,3,6,10,12,29,30,35,53,42,30,,,
Dumfries and Galloway,"1,789",7,4,1,-,4,8,5,14,17,19,32,49,64,100,137,213,265,325,263,262,Dumfries and Galloway,851,4,3,-,-,3,5,5,9,12,14,16,28,34,64,80,122,139,141,103,69,Dumfries and Galloway,938,3,1,1,-,1,3,-,5,5,5,16,21,30,36,57,91,126,184,160,193,,,
Dundee City  ,"1,829",11,3,1,1,8,6,6,18,17,21,46,62,78,116,169,236,280,282,248,220,Dundee City  ,891,8,1,1,1,5,5,2,12,9,15,28,41,42,72,108,128,149,129,85,50,Dundee City  ,938,3,2,-,-,3,1,4,6,8,6,18,21,36,44,61,108,131,153,163,170,,,
East Ayrshire  ,"1,427",6,4,-,1,5,6,12,8,10,18,19,43,49,82,139,197,256,238,192,142,East Ayrshire  ,672,6,4,-,1,4,6,8,7,8,6,10,22,30,50,78,109,124,105,60,34,East Ayrshire  ,755,-,-,-,-,1,-,4,1,2,12,9,21,19,32,61,88,132,133,132,108,,,
East Dunbartonshire,"1,040",6,2,-,-,2,-,3,4,7,7,22,33,44,63,97,123,155,175,153,144,East Dunbartonshire,467,2,1,-,-,2,-,3,3,5,4,10,20,26,31,58,72,71,66,58,35,East Dunbartonshire,573,4,1,-,-,-,-,-,1,2,3,12,13,18,32,39,51,84,109,95,109,,,
East Lothian  ,"1,036",4,1,-,2,3,8,-,9,5,7,14,36,38,53,76,126,154,179,175,146,East Lothian  ,489,3,1,-,1,1,8,-,6,3,5,5,25,23,36,40,77,72,85,64,34,East Lothian  ,547,1,-,-,1,2,-,-,3,2,2,9,11,15,17,36,49,82,94,111,112,,,
East Renfrewshire,844,3,1,-,2,3,6,3,5,4,10,10,27,38,45,57,109,131,135,131,124,East Renfrewshire,394,1,1,-,-,2,3,3,5,2,7,7,17,27,24,38,58,70,58,43,28,East Renfrewshire,450,2,-,-,2,1,3,-,-,2,3,3,10,11,21,19,51,61,77,88,96,,,
Falkirk ,"1,711",11,-,-,-,-,6,6,19,17,22,37,46,89,91,147,234,240,304,244,198,Falkirk ,832,6,-,-,-,-,6,4,17,11,15,26,30,57,54,83,128,126,138,91,40,Falkirk ,879,5,-,-,-,-,-,2,2,6,7,11,16,32,37,64,106,114,166,153,158,,,
Fife,"4,012",26,7,3,5,20,14,24,23,32,48,54,112,155,214,372,468,648,677,609,501,Fife,"1,893",20,1,2,2,18,10,20,13,20,36,31,74,81,139,202,264,314,310,221,115,Fife,"2,119",6,6,1,3,2,4,4,10,12,12,23,38,74,75,170,204,334,367,388,386,,,
Glasgow City,"7,688",44,8,2,8,23,43,59,80,115,126,200,243,354,637,760,"1,037","1,103","1,151",919,776,Glasgow City,"3,784",19,1,1,4,17,28,43,61,79,91,122,152,228,433,446,568,540,479,300,172,Glasgow City,"3,904",25,7,1,4,6,15,16,19,36,35,78,91,126,204,314,469,563,672,619,604,,,
Highland,"2,381",7,3,3,1,7,13,17,9,16,37,59,75,118,139,203,253,365,387,346,323,Highland,"1,151",1,1,2,1,5,8,14,4,8,21,28,45,69,89,131,135,195,176,135,83,Highland,"1,230",6,2,1,-,2,5,3,5,8,16,31,30,49,50,72,118,170,211,211,240,,,
Inverclyde,"1,137",6,1,-,-,2,2,7,10,7,23,30,34,61,86,99,157,186,169,135,122,Inverclyde,583,3,-,-,-,-,2,7,9,4,17,24,21,42,55,60,83,105,74,51,26,Inverclyde,554,3,1,-,-,2,-,-,1,3,6,6,13,19,31,39,74,81,95,84,96,,,
Midlothian,917,3,1,-,-,2,3,6,2,9,10,11,28,45,51,67,111,160,188,115,105,Midlothian,432,1,-,-,-,-,3,6,2,5,7,5,13,22,33,33,57,82,91,38,34,Midlothian,485,2,1,-,-,2,-,-,-,4,3,6,15,23,18,34,54,78,97,77,71,,,
Moray,971,3,1,-,-,6,7,9,3,12,12,21,29,30,39,85,110,166,151,152,135,Moray,491,3,-,-,-,4,5,9,2,8,5,13,18,19,28,57,67,98,67,50,38,Moray,480,-,1,-,-,2,2,-,1,4,7,8,11,11,11,28,43,68,84,102,97,,,
Na h-Eileanan Siar2 ,403,1,-,-,1,-,3,-,2,6,3,4,16,13,24,32,32,60,68,69,69,Na h-Eileanan Siar2 ,205,-,-,-,-,-,3,-,2,3,3,2,13,10,19,22,21,33,30,31,13,Na h-Eileanan Siar2 ,198,1,-,-,1,-,-,-,-,3,-,2,3,3,5,10,11,27,38,38,56,,,
North Ayrshire,"1,622",3,4,1,-,6,9,7,6,16,28,28,52,73,97,137,214,242,286,209,204,North Ayrshire,788,3,1,-,-,5,7,6,5,9,14,21,35,55,55,89,122,128,106,70,57,North Ayrshire,834,-,3,1,-,1,2,1,1,7,14,7,17,18,42,48,92,114,180,139,147,,,
North Lanarkshire,"3,489",14,3,4,4,14,20,20,43,46,56,82,147,165,255,366,465,571,513,397,304,North Lanarkshire,"1,690",13,3,1,4,7,19,16,30,29,30,56,83,107,143,211,244,295,204,120,75,North Lanarkshire,"1,799",1,-,3,-,7,1,4,13,17,26,26,64,58,112,155,221,276,309,277,229,,,
Orkney Islands,211,-,-,1,-,1,-,-,1,2,3,4,5,6,14,16,27,30,40,35,26,Orkney Islands,97,-,-,1,-,1,-,-,-,-,2,3,5,3,6,13,10,18,17,10,8,Orkney Islands,114,-,-,-,-,-,-,-,1,2,1,1,-,3,8,3,17,12,23,25,18,,,
Perth and Kinross,"1,594",7,1,-,1,2,6,7,10,8,17,16,35,66,91,120,178,222,286,255,266,Perth and Kinross,718,6,-,-,-,1,2,4,5,6,8,10,21,38,55,75,94,125,116,85,67,Perth and Kinross,876,1,1,-,1,1,4,3,5,2,9,6,14,28,36,45,84,97,170,170,199,,,
