"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"53,967",218,42,24,24,147,210,266,355,483,768,"1,096","1,612","2,189","3,471","4,247","5,845","7,696","9,181","8,491","7,602",SCOTLAND,"25,963",119,23,18,11,95,151,196,234,318,481,669,972,"1,343","2,045","2,423","3,224","4,012","4,258","3,271","2,100",SCOTLAND,"28,004",99,19,6,13,52,59,70,121,165,287,427,640,846,"1,426","1,824","2,621","3,684","4,923","5,220","5,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,021",8,-,-,-,4,7,22,18,26,29,35,70,80,115,126,181,302,357,343,298,Aberdeen City   ,928,4,-,-,-,3,4,14,14,17,22,28,42,45,63,62,100,154,167,101,88,Aberdeen City   ,"1,093",4,-,-,-,1,3,8,4,9,7,7,28,35,52,64,81,148,190,242,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,252",9,3,6,-,7,11,6,9,22,27,39,50,89,146,165,206,308,395,374,380,Aberdeenshire  ,"1,096",7,3,4,-,5,9,4,4,14,11,18,28,54,89,96,116,175,200,160,99,Aberdeenshire  ,"1,156",2,-,2,-,2,2,2,5,8,16,21,22,35,57,69,90,133,195,214,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,289",8,-,1,1,7,4,3,9,10,16,22,38,44,79,85,136,161,231,213,221,Angus  ,581,4,-,-,1,5,3,2,6,7,8,8,21,22,44,40,69,84,117,75,65,Angus  ,708,4,-,1,-,2,1,1,3,3,8,14,17,22,35,45,67,77,114,138,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,096",2,-,1,-,2,4,3,4,8,11,19,32,42,87,95,113,150,174,178,171,Argyll and Bute  ,528,-,-,1,-,2,4,2,3,6,8,9,21,24,50,52,67,77,78,70,54,Argyll and Bute  ,568,2,-,-,-,-,-,1,1,2,3,10,11,18,37,43,46,73,96,108,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,190",18,5,-,-,9,16,21,36,33,72,73,114,164,255,263,393,577,717,730,694,City of Edinburgh2 ,"2,013",8,-,-,-,2,8,15,25,26,48,42,71,109,156,153,227,306,335,285,197,City of Edinburgh2,"2,177",10,5,-,-,7,8,6,11,7,24,31,43,55,99,110,166,271,382,445,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,461,-,-,-,-,4,3,1,2,5,11,7,20,17,31,53,48,65,67,79,48,Clackmannanshire,217,-,-,-,-,3,2,1,1,4,8,6,10,13,15,29,24,31,30,27,13,Clackmannanshire,244,-,-,-,-,1,1,-,1,1,3,1,10,4,16,24,24,34,37,52,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,857",9,2,-,-,2,2,10,9,5,14,29,32,54,102,148,194,253,354,327,311,Dumfries and Galloway,939,6,1,-,-,2,2,9,7,3,8,17,19,33,64,95,125,137,164,148,99,Dumfries and Galloway,918,3,1,-,-,-,-,1,2,2,6,12,13,21,38,53,69,116,190,179,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,695",10,2,3,3,8,17,11,12,19,23,32,46,68,102,140,181,252,276,265,225,Dundee City  ,815,9,1,2,1,7,12,8,7,9,14,23,24,46,52,74,102,124,140,104,56,Dundee City  ,880,1,1,1,2,1,5,3,5,10,9,9,22,22,50,66,79,128,136,161,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,270",4,-,-,2,4,7,5,6,15,14,19,38,63,79,119,153,197,208,178,159,East Ayrshire  ,608,3,-,-,1,2,6,3,4,11,8,7,20,33,49,64,86,98,96,73,44,East Ayrshire  ,662,1,-,-,1,2,1,2,2,4,6,12,18,30,30,55,67,99,112,105,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,964,5,-,1,-,3,2,4,6,2,9,19,37,30,56,79,97,120,180,159,155,East Dunbartonshire,454,-,-,-,-,1,-,3,5,1,4,11,19,17,35,41,55,67,92,57,46,East Dunbartonshire,510,5,-,1,-,2,2,1,1,1,5,8,18,13,21,38,42,53,88,102,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,984,2,1,1,-,2,2,3,7,5,9,24,33,37,52,74,107,128,181,170,146,East Lothian  ,454,1,1,1,-,1,2,3,4,4,7,12,19,19,27,39,54,63,88,72,37,East Lothian  ,530,1,-,-,-,1,-,-,3,1,2,12,14,18,25,35,53,65,93,98,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,847,2,-,1,1,1,2,1,4,2,10,15,21,28,46,71,66,111,164,151,150,East Renfrewshire,377,1,-,1,1,1,2,1,2,1,6,11,8,15,27,44,33,55,80,50,38,East Renfrewshire,470,1,-,-,-,-,-,-,2,1,4,4,13,13,19,27,33,56,84,101,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk ,"1,506",8,1,1,1,3,5,6,5,18,17,27,54,55,82,117,167,218,249,279,193,Falkirk ,724,2,-,1,-,2,5,6,5,7,9,15,32,31,54,65,96,121,123,98,52,Falkirk ,782,6,1,-,1,1,-,-,-,11,8,12,22,24,28,52,71,97,126,181,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,"3,673",18,1,-,3,7,10,18,32,24,59,77,101,141,241,264,401,529,650,576,521,Fife,"1,789",11,-,-,1,6,7,15,22,15,36,51,66,83,129,147,224,290,302,230,154,Fife,"1,884",7,1,-,2,1,3,3,10,9,23,26,35,58,112,117,177,239,348,346,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,"6,325",35,6,6,4,13,22,47,51,91,140,185,259,331,417,532,732,906,976,863,709,Glasgow City,"3,125",21,1,5,2,9,18,35,34,62,95,125,172,222,254,316,395,454,435,305,165,Glasgow City,"3,200",14,5,1,2,4,4,12,17,29,45,60,87,109,163,216,337,452,541,558,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,"2,423",10,2,-,1,12,9,11,14,16,24,52,60,112,149,199,246,311,438,398,359,Highland,"1,219",6,1,-,-,8,7,9,9,13,15,29,41,71,93,115,135,171,222,170,104,Highland,"1,204",4,1,-,1,4,2,2,5,3,9,23,19,41,56,84,111,140,216,228,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverclyde,"1,050",5,-,-,2,4,2,6,13,14,10,22,36,56,74,81,117,147,141,168,152,Inverclyde,529,2,-,-,2,-,2,4,9,13,8,18,26,35,55,53,69,68,65,56,44,Inverclyde,521,3,-,-,-,4,-,2,4,1,2,4,10,21,19,28,48,79,76,112,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,805,2,3,-,-,-,2,5,3,7,6,15,19,30,56,60,92,128,152,120,105,Midlothian,362,1,3,-,-,-,2,3,1,4,5,9,10,21,21,33,53,58,73,40,25,Midlothian,443,1,-,-,-,-,-,2,2,3,1,6,9,9,35,27,39,70,79,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,932,3,1,-,3,4,2,3,6,7,9,6,22,39,54,79,99,135,162,150,148,Moray,459,2,1,-,1,3,1,3,1,5,7,5,20,27,38,41,56,74,71,71,32,Moray,473,1,-,-,2,1,1,-,5,2,2,1,2,12,16,38,43,61,91,79,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
