"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"54,937",217,37,32,24,91,162,281,356,453,728,"1,074","1,556","2,118","3,182","4,344","5,791","7,702","9,249","9,034","8,506",SCOTLAND,"26,015",133,20,19,17,61,107,194,257,312,436,655,896,"1,267","1,884","2,508","3,172","3,949","4,168","3,612","2,348",SCOTLAND,"28,922",84,17,13,7,30,55,87,99,141,292,419,660,851,"1,298","1,836","2,619","3,753","5,081","5,422","6,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,078",12,2,-,-,5,3,14,13,15,21,44,55,74,137,142,201,291,376,357,316,Aberdeen City   ,989,7,2,-,-,4,1,9,9,9,12,24,38,45,84,86,120,141,165,132,101,Aberdeen City   ,"1,089",5,-,-,-,1,2,5,4,6,9,20,17,29,53,56,81,150,211,225,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,235",8,1,5,1,5,7,9,13,13,25,25,45,83,124,159,244,324,404,373,367,Aberdeenshire  ,"1,054",4,-,4,1,2,4,6,9,8,12,15,25,49,71,85,129,175,185,163,107,Aberdeenshire  ,"1,181",4,1,1,-,3,3,3,4,5,13,10,20,34,53,74,115,149,219,210,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,308",6,1,-,-,4,1,5,7,6,12,19,31,41,68,82,120,211,251,222,221,Angus  ,611,2,-,-,-,2,1,4,6,5,3,12,17,22,42,51,70,111,120,77,66,Angus  ,697,4,1,-,-,2,-,1,1,1,9,7,14,19,26,31,50,100,131,145,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,093",2,-,1,-,3,1,4,7,7,8,19,24,43,55,103,115,141,165,195,200,Argyll and Bute  ,510,1,-,-,-,-,-,3,7,5,4,12,13,27,32,70,58,61,81,87,49,Argyll and Bute  ,583,1,-,1,-,3,1,1,-,2,4,7,11,16,23,33,57,80,84,108,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,265",25,1,1,1,10,17,20,40,47,60,72,139,184,225,287,339,483,727,782,805,City of Edinburgh2 ,"1,968",18,1,1,1,8,7,12,32,38,33,44,80,123,136,178,181,242,332,297,204,City of Edinburgh2,"2,297",7,-,-,-,2,10,8,8,9,27,28,59,61,89,109,158,241,395,485,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,506,2,-,-,-,-,3,2,3,7,6,11,20,19,32,68,54,65,69,80,65,Clackmannanshire,238,2,-,-,-,-,2,-,3,5,3,8,6,9,16,48,26,31,34,31,14,Clackmannanshire,268,-,-,-,-,-,1,2,-,2,3,3,14,10,16,20,28,34,35,49,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,829",5,1,1,-,6,5,7,9,7,12,15,43,57,92,140,205,262,314,340,308,Dumfries and Galloway,882,3,1,1,-,4,5,5,8,5,7,3,29,38,54,77,107,148,146,151,90,Dumfries and Galloway,947,2,-,-,-,2,-,2,1,2,5,12,14,19,38,63,98,114,168,189,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
