"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,687",7,1,2,1,2,6,14,14,17,31,35,52,57,93,119,191,241,292,289,223,Dundee City  ,803,6,1,-,1,2,4,7,9,15,20,20,28,33,52,63,107,136,120,118,61,Dundee City  ,884,1,-,2,-,-,2,7,5,2,11,15,24,24,41,56,84,105,172,171,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,307",7,-,1,2,3,4,12,7,8,18,31,40,49,96,95,135,211,211,210,167,East Ayrshire  ,635,5,-,-,2,3,3,6,4,5,12,19,20,39,60,57,69,101,97,88,45,East Ayrshire  ,672,2,-,1,-,-,1,6,3,3,6,12,20,10,36,38,66,110,114,122,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,973,2,1,-,1,-,1,3,4,4,8,13,23,27,52,75,110,134,190,161,164,East Dunbartonshire,468,2,-,-,1,-,1,3,3,1,7,9,11,16,27,49,47,68,93,72,58,East Dunbartonshire,505,-,1,-,-,-,-,-,1,3,1,4,12,11,25,26,63,66,97,89,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,"1,037",4,1,-,-,1,2,4,5,6,13,28,35,24,53,64,101,138,178,197,183,East Lothian  ,480,2,-,-,-,-,1,3,4,6,6,18,19,15,33,35,55,59,91,83,50,East Lothian  ,557,2,1,-,-,1,1,1,1,-,7,10,16,9,20,29,46,79,87,114,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,863,4,-,1,1,1,1,5,3,4,7,8,15,27,42,45,79,132,162,154,172,East Renfrewshire,355,1,-,1,-,1,1,4,1,1,3,5,9,11,24,24,38,67,72,59,33,East Renfrewshire,508,3,-,-,1,-,-,1,2,3,4,3,6,16,18,21,41,65,90,95,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk ,"1,576",8,1,2,2,1,6,5,5,17,12,26,40,50,97,135,177,240,272,269,211,Falkirk ,761,6,1,1,1,1,3,3,4,14,9,15,15,33,62,69,100,132,137,95,60,Falkirk ,815,2,-,1,1,-,3,2,1,3,3,11,25,17,35,66,77,108,135,174,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,"3,832",31,4,1,1,7,12,16,25,31,59,67,87,125,210,313,373,543,621,669,637,Fife,"1,829",17,1,1,1,5,10,10,19,19,33,39,50,66,126,174,218,280,295,293,172,Fife,"2,003",14,3,-,-,2,2,6,6,12,26,28,37,59,84,139,155,263,326,376,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,"6,499",23,8,5,2,5,24,36,64,84,107,175,232,330,386,548,742,926,"1,048",909,845,Glasgow City,"3,112",14,5,2,1,2,15,28,49,49,64,116,137,208,248,319,415,429,460,353,198,Glasgow City,"3,387",9,3,3,1,3,9,8,15,35,43,59,95,122,138,229,327,497,588,556,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,"2,238",8,2,3,-,4,7,13,14,12,31,43,69,83,140,161,250,265,369,377,387,Highland,"1,111",2,2,2,-,3,5,12,8,9,22,25,43,51,72,94,146,141,187,169,118,Highland,"1,127",6,-,1,-,1,2,1,6,3,9,18,26,32,68,67,104,124,182,208,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverclyde,956,-,1,-,-,2,2,7,5,7,13,20,25,40,50,91,117,130,158,156,132,Inverclyde,453,-,1,-,-,2,1,4,2,4,7,12,16,23,33,53,65,66,73,53,38,Inverclyde,503,-,-,-,-,-,1,3,3,3,6,8,9,17,17,38,52,64,85,103,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,823,4,1,-,-,1,3,4,3,6,11,17,20,30,60,66,81,115,152,113,136,Midlothian,401,3,-,-,-,1,2,3,3,5,6,6,11,22,38,41,44,62,73,50,31,Midlothian,422,1,1,-,-,-,1,1,-,1,5,11,9,8,22,25,37,53,79,63,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,995,5,1,-,1,3,2,7,5,5,11,19,18,40,55,63,106,161,165,164,164,Moray,475,2,-,-,1,2,1,6,5,4,5,12,12,21,32,32,61,82,82,68,47,Moray,520,3,1,-,-,1,1,1,-,1,6,7,6,19,23,31,45,79,83,96,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na h-Eileanan Siar2 ,390,2,-,-,-,-,-,1,-,1,2,8,14,5,21,36,39,50,69,65,77,Na h-Eileanan Siar2 ,189,-,-,-,-,-,-,-,-,-,2,7,10,5,14,25,26,28,32,26,14,Na h-Eileanan Siar2 ,201,2,-,-,-,-,-,1,-,1,-,1,4,-,7,11,13,22,37,39,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Ayrshire,"1,538",4,2,-,1,2,4,6,8,10,19,35,39,63,109,128,179,209,236,247,237,North Ayrshire,704,4,1,-,1,1,4,4,5,8,15,21,22,35,60,74,102,115,86,89,57,North Ayrshire,834,-,1,-,-,1,-,2,3,2,4,14,17,28,49,54,77,94,150,158,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lanarkshire,"3,369",18,2,3,1,4,12,16,25,38,60,86,117,154,231,335,418,494,538,479,338,North Lanarkshire,"1,596",10,1,2,1,3,8,13,15,25,39,58,71,83,123,188,221,254,207,178,96,North Lanarkshire,"1,773",8,1,1,-,1,4,3,10,13,21,28,46,71,108,147,197,240,331,301,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orkney Islands,216,1,-,1,-,-,-,1,2,1,2,1,3,10,12,19,21,25,41,41,35,Orkney Islands,97,1,-,1,-,-,-,1,-,1,2,1,1,6,6,12,8,11,21,18,7,Orkney Islands,119,-,-,-,-,-,-,-,2,-,-,-,2,4,6,7,13,14,20,23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth and Kinross,"1,629",1,1,-,-,2,5,5,9,9,22,18,42,47,75,111,144,218,287,319,314,Perth and Kinross,783,-,-,-,-,1,5,5,8,4,12,9,27,24,44,62,79,118,140,140,105,Perth and Kinross,846,1,1,-,-,1,-,-,1,5,10,9,15,23,31,49,65,100,147,179,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrewshire,"1,934",8,2,2,2,-,4,9,14,19,27,36,73,61,120,151,206,294,300,304,302,Renfrewshire,910,6,1,1,2,-,2,5,10,18,17,26,45,37,78,84,99,158,130,110,81,Renfrewshire,"1,024",2,1,1,-,-,2,4,4,1,10,10,28,24,42,67,107,136,170,194,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Borders,"1,282",3,-,1,2,5,2,1,3,10,14,18,29,44,67,88,123,174,199,240,259,Scottish Borders,591,2,-,-,1,3,2,1,1,6,9,9,14,18,42,57,73,82,82,95,94,Scottish Borders,691,1,-,1,1,2,-,-,2,4,5,9,15,26,25,31,50,92,117,145,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shetland Islands,203,-,-,-,1,1,2,2,-,1,6,3,4,13,17,12,13,18,36,26,48,Shetland Islands,110,-,-,-,1,1,2,1,-,1,4,2,2,9,10,9,9,14,17,14,14,Shetland Islands,93,-,-,-,-,-,-,1,-,-,2,1,2,4,7,3,4,4,19,12,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ayrshire,"1,386",4,-,-,-,2,4,4,6,12,18,27,22,35,60,105,135,200,259,249,244,South Ayrshire,629,2,-,-,-,1,2,3,4,9,11,13,14,20,30,58,72,109,114,96,71,South Ayrshire,757,2,-,-,-,1,2,1,2,3,7,14,8,15,30,47,63,91,145,153,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire,"3,439",3,1,1,1,5,6,22,22,20,50,72,84,150,205,291,380,488,584,546,508,South Lanarkshire,"1,624",3,1,1,1,5,4,16,14,14,34,45,46,93,118,163,215,251,241,217,142,South Lanarkshire,"1,815",-,-,-,-,-,2,6,8,6,16,27,38,57,87,128,165,237,343,329,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling,879,3,-,1,2,2,4,7,4,7,9,16,24,28,47,60,95,132,157,143,138,Stirling,432,2,-,1,-,1,2,6,2,4,2,7,17,16,26,37,54,79,68,61,47,Stirling,447,1,-,-,2,1,2,1,2,3,7,9,7,12,21,23,41,53,89,82,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Dunbartonshire,"1,106",2,-,-,1,1,2,8,6,12,15,39,37,54,70,92,127,162,173,164,141,West Dunbartonshire,501,2,-,-,-,-,2,4,5,9,11,25,21,30,40,45,71,75,74,54,33,West Dunbartonshire,605,-,-,-,1,1,-,4,1,3,4,14,16,24,30,47,56,87,99,110,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lothian,"1,466",5,2,-,-,4,10,12,11,10,19,28,55,71,81,160,171,225,246,194,162,West Lothian,714,4,1,-,-,3,7,7,8,6,10,18,27,40,51,89,87,123,113,75,45,West Lothian,752,1,1,-,-,1,3,5,3,4,9,10,28,31,30,71,84,102,133,119,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
