"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
Glasgow City,"7,680",37,4,9,8,25,40,62,81,106,149,180,254,376,606,778,"1,033","1,173","1,060",884,815,Glasgow City,"3,748",19,2,8,6,16,30,50,66,77,98,124,184,244,382,469,552,556,427,282,156,Glasgow City,"3,932",18,2,1,2,9,10,12,15,29,51,56,70,132,224,309,481,617,633,602,659,,,
Highland,"2,413",11,1,1,1,10,10,10,24,20,29,44,83,100,146,207,293,374,357,367,325,Highland,"1,171",6,-,-,-,10,7,10,16,17,17,26,47,66,81,126,186,206,138,135,77,Highland,"1,242",5,1,1,1,-,3,-,8,3,12,18,36,34,65,81,107,168,219,232,248,,,
Inverclyde,"1,109",8,-,1,1,1,4,8,8,17,15,20,41,66,90,111,121,178,153,146,120,Inverclyde,541,1,-,1,-,1,2,6,5,15,11,17,28,47,56,66,69,81,60,48,27,Inverclyde,568,7,-,-,1,-,2,2,3,2,4,3,13,19,34,45,52,97,93,98,93,,,
Midlothian,839,5,-,2,1,-,9,6,3,5,14,13,28,42,51,83,108,135,132,107,95,Midlothian,394,3,-,-,-,-,7,4,3,4,7,7,16,29,31,44,56,74,49,41,19,Midlothian,445,2,-,2,1,-,2,2,-,1,7,6,12,13,20,39,52,61,83,66,76,,,
Moray,936,8,-,1,1,2,6,2,7,10,12,23,23,41,45,87,118,127,142,150,131,Moray,458,5,-,-,1,2,4,1,7,7,7,16,14,25,33,60,63,69,62,51,31,Moray,478,3,-,1,-,-,2,1,-,3,5,7,9,16,12,27,55,58,80,99,100,,,
Na h-Eileanan Siar2 ,356,2,1,-,-,1,3,3,2,2,5,2,7,21,24,27,34,51,46,57,68,Na h-Eileanan Siar2 ,180,-,1,-,-,1,2,3,1,2,3,1,3,16,21,17,24,29,24,17,15,Na h-Eileanan Siar2 ,176,2,-,-,-,-,1,-,1,-,2,1,4,5,3,10,10,22,22,40,53,,,
North Ayrshire,"1,638",15,3,2,1,7,13,7,17,14,24,27,63,75,120,144,220,235,267,218,166,North Ayrshire,777,8,1,1,-,6,10,5,9,10,17,15,36,40,71,83,126,116,109,79,35,North Ayrshire,861,7,2,1,1,1,3,2,8,4,7,12,27,35,49,61,94,119,158,139,131,,,
North Lanarkshire,"3,440",21,4,5,6,8,12,21,29,39,59,88,113,166,262,366,534,541,543,377,246,North Lanarkshire,"1,693",13,3,3,4,5,10,14,21,24,36,51,67,100,150,207,305,268,231,127,54,North Lanarkshire,"1,747",8,1,2,2,3,2,7,8,15,23,37,46,66,112,159,229,273,312,250,192,,,
Orkney Islands,229,1,-,-,-,1,-,1,1,2,-,6,6,9,13,10,24,30,47,45,33,Orkney Islands,114,-,-,-,-,1,-,1,1,1,-,6,4,8,11,5,13,18,23,15,7,Orkney Islands,115,1,-,-,-,-,-,-,-,1,-,-,2,1,2,5,11,12,24,30,26,,,
Perth and Kinross,"1,540",6,1,1,1,6,8,8,6,7,13,37,38,62,73,113,188,234,244,259,235,Perth and Kinross,703,3,-,1,1,6,6,6,2,5,9,24,26,36,45,61,106,112,110,84,60,Perth and Kinross,837,3,1,-,-,-,2,2,4,2,4,13,12,26,28,52,82,122,134,175,175,,,
