"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"58,472",265,59,33,51,179,250,253,397,592,790,"1,108","1,588","2,549","3,684","5,040","6,951","8,978","9,993","8,018","7,694",SCOTLAND,"27,832",146,35,15,31,122,186,186,283,396,497,666,968,"1,546","2,241","2,934","3,863","4,535","4,459","2,797","1,926",SCOTLAND,"30,640",119,24,18,20,57,64,67,114,196,293,442,620,"1,003","1,443","2,106","3,088","4,443","5,534","5,221","5,768",,,
Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,176",12,3,1,2,5,8,11,23,28,27,38,49,71,122,150,250,349,385,324,318,Aberdeen City   ,994,7,2,1,-,5,7,9,14,22,20,21,30,46,78,91,140,175,164,96,66,Aberdeen City   ,"1,182",5,1,-,2,-,1,2,9,6,7,17,19,25,44,59,110,174,221,228,252,,,
Aberdeenshire  ,"2,134",10,2,2,2,9,10,12,15,19,16,51,58,87,128,147,229,307,384,295,351,Aberdeenshire  ,"1,031",6,2,1,1,5,8,8,9,14,14,27,40,53,79,95,129,154,173,108,105,Aberdeenshire  ,"1,103",4,-,1,1,4,2,4,6,5,2,24,18,34,49,52,100,153,211,187,246,,,
Angus  ,"1,328",5,-,2,2,7,1,1,7,9,15,18,22,49,59,84,150,211,259,190,237,Angus  ,584,4,-,-,1,5,1,1,6,8,6,9,11,28,37,41,91,88,111,69,67,Angus  ,744,1,-,2,1,2,-,-,1,1,9,9,11,21,22,43,59,123,148,121,170,,,
Argyll and Bute  ,"1,149",1,1,-,1,5,6,2,5,9,11,23,30,45,67,93,117,174,192,166,201,Argyll and Bute  ,543,1,-,-,1,2,6,2,4,8,10,11,20,28,41,56,65,89,77,61,61,Argyll and Bute  ,606,-,1,-,-,3,-,-,1,1,1,12,10,17,26,37,52,85,115,105,140,,,
City of Edinburgh2,"4,581",25,4,-,2,7,19,20,25,34,59,85,113,177,233,313,479,726,841,665,754,City of Edinburgh2 ,"2,151",14,-,-,-,5,13,16,18,19,40,57,64,108,149,167,283,378,400,227,193,City of Edinburgh2,"2,430",11,4,-,2,2,6,4,7,15,19,28,49,69,84,146,196,348,441,438,561,,,
Clackmannanshire,495,4,-,-,2,1,2,3,-,4,14,5,15,26,35,38,63,58,103,58,64,Clackmannanshire,239,1,-,-,1,1,2,2,-,3,9,3,13,16,20,23,30,31,42,23,19,Clackmannanshire,256,3,-,-,1,-,-,1,-,1,5,2,2,10,15,15,33,27,61,35,45,,,
Dumfries and Galloway,"1,912",5,3,1,3,7,7,8,9,13,25,24,38,77,131,163,219,280,337,316,246,Dumfries and Galloway,926,4,-,-,3,5,3,7,9,7,12,14,27,45,69,91,116,149,171,121,73,Dumfries and Galloway,986,1,3,1,-,2,4,1,-,6,13,10,11,32,62,72,103,131,166,195,173,,,
Dundee City  ,"1,878",10,4,-,2,3,6,10,15,26,33,31,53,76,123,176,241,289,320,244,216,Dundee City  ,898,5,3,-,2,3,5,6,9,19,20,22,28,50,69,100,125,157,137,91,47,Dundee City  ,980,5,1,-,-,-,1,4,6,7,13,9,25,26,54,76,116,132,183,153,169,,,
East Ayrshire  ,"1,538",5,2,-,-,4,7,7,6,15,15,31,25,81,111,140,188,239,247,225,190,East Ayrshire  ,720,5,2,-,-,4,6,4,4,10,12,18,13,44,71,74,104,113,120,65,51,East Ayrshire  ,818,-,-,-,-,-,1,3,2,5,3,13,12,37,40,66,84,126,127,160,139,,,
East Dunbartonshire,"1,004",4,-,-,-,-,4,7,5,4,15,20,20,44,55,89,112,179,166,142,138,East Dunbartonshire,452,1,-,-,-,-,4,6,3,3,5,9,10,24,25,55,57,92,71,52,35,East Dunbartonshire,552,3,-,-,-,-,-,1,2,1,10,11,10,20,30,34,55,87,95,90,103,,,
