"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"54,700",186,40,14,29,115,150,215,340,432,738,"1,088","1,582","2,187","3,006","4,480","5,742","7,611","9,219","8,929","8,597",SCOTLAND,"26,325",98,21,9,18,71,112,155,227,280,492,666,924,"1,303","1,764","2,609","3,157","3,940","4,375","3,588","2,516",SCOTLAND,"28,375",88,19,5,11,44,38,60,113,152,246,422,658,884,"1,242","1,871","2,585","3,671","4,844","5,341","6,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,047",11,-,1,1,7,1,8,14,17,29,42,61,86,123,148,190,261,366,347,334,Aberdeen City   ,980,7,-,1,1,5,-,5,8,14,19,25,40,51,78,79,105,138,169,134,101,Aberdeen City   ,"1,067",4,-,-,-,2,1,3,6,3,10,17,21,35,45,69,85,123,197,213,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,299",7,1,1,2,3,5,5,17,27,26,45,60,86,101,183,204,294,398,404,430,Aberdeenshire  ,"1,121",3,-,1,2,2,4,4,12,16,16,25,30,52,61,102,112,156,219,175,129,Aberdeenshire  ,"1,178",4,1,-,-,1,1,1,5,11,10,20,30,34,40,81,92,138,179,229,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,324",3,1,-,1,5,4,5,8,7,17,23,25,36,65,100,110,184,215,254,261,Angus  ,617,2,1,-,-,3,2,5,5,3,9,12,12,24,37,55,60,95,101,108,83,Angus  ,707,1,-,-,1,2,2,-,3,4,8,11,13,12,28,45,50,89,114,146,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,001",3,-,-,1,3,-,1,5,5,9,16,27,32,40,86,104,142,171,171,185,Argyll and Bute  ,453,1,-,-,-,1,-,1,4,5,8,7,16,18,15,49,58,72,79,75,44,Argyll and Bute  ,548,2,-,-,1,2,-,-,1,-,1,9,11,14,25,37,46,70,92,96,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,254",22,3,1,2,3,13,17,26,36,59,102,140,156,227,270,394,506,682,790,805,City of Edinburgh2 ,"2,011",10,2,-,2,2,11,14,18,24,38,58,89,100,137,165,230,239,331,304,237,City of Edinburgh2,"2,243",12,1,1,-,1,2,3,8,12,21,44,51,56,90,105,164,267,351,486,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,557,1,-,-,-,1,-,1,3,7,10,17,13,23,40,42,68,78,105,84,64,Clackmannanshire,253,-,-,-,-,1,-,-,2,5,8,9,10,13,19,27,31,35,51,24,18,Clackmannanshire,304,1,-,-,-,-,-,1,1,2,2,8,3,10,21,15,37,43,54,60,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,875",5,-,-,1,7,6,5,8,17,15,23,38,56,79,140,207,248,365,348,307,Dumfries and Galloway,896,2,-,-,1,4,4,4,6,10,9,10,18,29,37,85,115,150,172,142,98,Dumfries and Galloway,979,3,-,-,-,3,2,1,2,7,6,13,20,27,42,55,92,98,193,206,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City  ,"1,551",9,1,-,-,3,3,12,16,14,17,35,52,51,76,123,172,219,249,258,241,Dundee City  ,725,5,-,-,-,1,2,10,11,9,14,25,27,32,44,64,91,99,118,104,69,Dundee City  ,826,4,1,-,-,2,1,2,5,5,3,10,25,19,32,59,81,120,131,154,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire  ,"1,438",12,1,-,5,4,2,5,10,14,26,29,45,55,82,117,170,223,236,217,185,East Ayrshire  ,673,4,1,-,3,4,2,4,7,7,21,16,27,32,47,68,85,115,103,81,46,East Ayrshire  ,765,8,-,-,2,-,-,1,3,7,5,13,18,23,35,49,85,108,133,136,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,"1,010",1,-,-,1,2,3,3,4,3,5,17,24,30,41,83,109,145,205,162,172,East Dunbartonshire,459,1,-,-,-,1,1,2,3,2,1,11,12,15,19,43,52,65,114,67,50,East Dunbartonshire,551,-,-,-,1,1,2,1,1,1,4,6,12,15,22,40,57,80,91,95,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian  ,"1,025",2,1,-,1,3,3,1,4,4,11,18,22,29,51,81,101,136,184,188,185,East Lothian  ,494,-,1,-,-,2,2,-,1,3,7,8,11,17,31,44,58,74,97,88,50,East Lothian  ,531,2,-,-,1,1,1,1,3,1,4,10,11,12,20,37,43,62,87,100,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,885,4,1,1,1,2,2,2,1,7,12,11,23,30,45,59,82,122,147,150,183,East Renfrewshire,413,3,1,1,-,2,2,2,1,4,7,7,11,15,27,33,45,70,71,59,52,East Renfrewshire,472,1,-,-,1,-,-,-,-,3,5,4,12,15,18,26,37,52,76,91,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk ,"1,582",6,2,1,1,3,4,9,10,12,30,35,40,63,81,132,169,237,285,254,208,Falkirk ,763,4,2,-,1,3,4,5,7,8,22,17,24,37,44,85,98,127,115,101,59,Falkirk ,819,2,-,1,-,-,-,4,3,4,8,18,16,26,37,47,71,110,170,153,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,"3,845",13,2,-,1,8,9,20,27,26,53,59,85,125,223,342,388,536,629,644,655,Fife,"1,869",8,-,-,1,6,7,16,18,19,32,40,47,68,132,192,233,272,311,256,211,Fife,"1,976",5,2,-,-,2,2,4,9,7,21,19,38,57,91,150,155,264,318,388,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,"6,305",29,9,1,4,14,22,38,43,67,117,161,253,332,416,500,721,899,"1,026",884,769,Glasgow City,"3,052",19,4,-,3,10,15,21,19,43,88,106,150,211,259,291,408,430,469,310,196,Glasgow City,"3,253",10,5,1,1,4,7,17,24,24,29,55,103,121,157,209,313,469,557,574,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,"2,352",5,-,1,1,5,9,10,17,15,30,44,80,104,141,184,221,292,393,405,395,Highland,"1,187",1,-,1,-,2,7,8,13,8,22,28,48,67,88,120,134,164,189,172,115,Highland,"1,165",4,-,-,1,3,2,2,4,7,8,16,32,37,53,64,87,128,204,233,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverclyde,965,-,-,1,-,-,3,4,5,8,16,27,26,38,52,73,111,139,177,159,126,Inverclyde,497,-,-,1,-,-,3,3,2,7,11,19,20,24,36,44,59,79,84,71,34,Inverclyde,468,-,-,-,-,-,-,1,3,1,5,8,6,14,16,29,52,60,93,88,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,818,1,-,3,1,3,2,3,5,5,6,17,23,43,45,70,98,112,135,123,123,Midlothian,408,1,-,2,1,3,1,3,4,3,4,11,17,27,25,43,53,63,57,53,37,Midlothian,410,-,-,1,-,-,1,-,1,2,2,6,6,16,20,27,45,49,78,70,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,939,3,2,-,2,1,2,2,3,3,13,11,25,38,60,76,95,139,157,147,160,Moray,452,2,-,-,1,-,1,-,2,2,6,8,15,27,34,48,50,81,75,51,49,Moray,487,1,2,-,1,1,1,2,1,1,7,3,10,11,26,28,45,58,82,96,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na h-Eileanan Siar2 ,336,-,-,-,-,-,-,-,3,1,4,7,9,14,18,28,25,46,48,66,67,Na h-Eileanan Siar2 ,157,-,-,-,-,-,-,-,2,1,2,4,6,9,15,15,16,27,22,25,13,Na h-Eileanan Siar2 ,179,-,-,-,-,-,-,-,1,-,2,3,3,5,3,13,9,19,26,41,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
