"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"53,856",235,41,25,32,152,213,296,336,517,875,"1,113","1,626","2,145","3,418","4,323","5,882","7,674","9,012","8,950","6,991",SCOTLAND,"25,828",142,21,14,13,105,149,221,227,336,548,665,963,"1,282","2,030","2,538","3,272","3,908","4,153","3,444","1,797",SCOTLAND,"28,028",93,20,11,19,47,64,75,109,181,327,448,663,863,"1,388","1,785","2,610","3,766","4,859","5,506","5,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,056",11,2,-,-,5,7,15,16,25,37,48,66,85,115,140,218,283,321,374,288,Aberdeen City   ,996,10,1,-,-,3,6,12,14,20,25,29,39,55,68,88,113,150,154,142,67,Aberdeen City   ,"1,060",1,1,-,-,2,1,3,2,5,12,19,27,30,47,52,105,133,167,232,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,185",6,-,1,1,10,6,10,10,19,40,36,57,77,126,163,236,298,375,383,331,Aberdeenshire  ,"1,044",4,-,-,-,7,5,9,6,11,25,22,31,50,66,104,137,155,174,143,95,Aberdeenshire  ,"1,141",2,-,1,1,3,1,1,4,8,15,14,26,27,60,59,99,143,201,240,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,190",9,-,-,-,4,6,11,3,9,14,21,31,38,59,92,113,155,233,184,208,Angus  ,532,5,-,-,-,1,3,7,2,5,8,13,18,24,32,50,58,84,107,67,48,Angus  ,658,4,-,-,-,3,3,4,1,4,6,8,13,14,27,42,55,71,126,117,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,050",-,1,1,-,3,3,3,5,4,17,10,35,38,69,91,99,128,181,190,172,Argyll and Bute  ,486,-,1,-,-,2,3,3,4,3,6,7,18,22,42,56,57,62,85,72,43,Argyll and Bute  ,564,-,-,1,-,1,-,-,1,1,11,3,17,16,27,35,42,66,96,118,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,202",21,4,1,2,12,18,24,25,46,61,91,116,159,234,270,359,583,725,770,681,City of Edinburgh2 ,"1,932",11,1,-,2,8,12,17,16,30,38,53,64,100,142,156,197,297,322,292,174,City of Edinburgh2,"2,270",10,3,1,-,4,6,7,9,16,23,38,52,59,92,114,162,286,403,478,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,498,3,-,-,-,1,6,1,2,2,12,10,15,15,42,23,57,91,75,89,54,Clackmannanshire,258,2,-,-,-,1,3,-,2,1,7,7,9,6,30,15,36,45,44,38,12,Clackmannanshire,240,1,-,-,-,-,3,1,-,1,5,3,6,9,12,8,21,46,31,51,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,790",5,1,-,-,5,6,8,11,15,19,25,50,54,94,147,192,244,354,333,227,Dumfries and Galloway,874,3,-,-,-,2,3,4,9,7,10,18,30,37,54,81,106,142,165,137,66,Dumfries and Galloway,916,2,1,-,-,3,3,4,2,8,9,7,20,17,40,66,86,102,189,196,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
