"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+
East Renfrewshire,850 ,3 ,-,-,1 ,-,-,4 ,4 ,6 ,12 ,11 ,20 ,21 ,55 ,76 ,95 ,134 ,166 ,125 ,117 ,East Renfrewshire,379,3,-,-,-,-,-,2,3,2,8,6,10,11,36,48,50,70,69,35,26,East Renfrewshire,471,-,-,-,1,-,-,2,1,4,4,5,10,10,19,28,45,64,97,90,91
Falkirk ,"1,596 ",9 ,2 ,1 ,1 ,1 ,6 ,9 ,12 ,17 ,16 ,32 ,41 ,61 ,102 ,163 ,218 ,292 ,240 ,231 ,142 ,Falkirk ,775,7,1,1,1,-,4,5,9,12,11,15,24,40,66,109,119,130,109,76,36,Falkirk ,821,2,1,-,-,1,2,4,3,5,5,17,17,21,36,54,99,162,131,155,106
Fife,"3,889 ",25 ,1 ,1 ,3 ,12 ,19 ,20 ,22 ,24 ,36 ,59 ,95 ,152 ,213 ,360 ,536 ,663 ,679 ,544 ,425 ,Fife,"1,837",17,1,-,2,7,15,18,14,16,24,38,55,98,128,202,310,348,299,168,77,Fife,"2,052",8,-,1,1,5,4,2,8,8,12,21,40,54,85,158,226,315,380,376,348
Glasgow City,"8,217 ",57 ,11 ,9 ,6 ,21 ,31 ,54 ,73 ,92 ,145 ,164 ,275 ,445 ,627 ,898 ,"1,144 ","1,269 ","1,215 ",998 ,683 ,Glasgow City,"3,899",31,5,3,3,15,20,39,49,55,93,111,175,269,385,517,606,596,471,322,134,Glasgow City,"4,318",26,6,6,3,6,11,15,24,37,52,53,100,176,242,381,538,673,744,676,549
Highland,"2,390 ",10 ,4 ,5 ,-,12 ,13 ,12 ,23 ,13 ,33 ,36 ,88 ,107 ,137 ,219 ,291 ,342 ,387 ,366 ,292 ,Highland,"1,165",6,1,3,-,8,11,9,16,11,19,25,55,62,83,127,167,190,183,124,65,Highland,"1,225",4,3,2,-,4,2,3,7,2,14,11,33,45,54,92,124,152,204,242,227
Inverclyde,"1,144 ",2 ,-,2 ,1 ,2 ,2 ,6 ,6 ,11 ,19 ,31 ,48 ,60 ,82 ,114 ,162 ,177 ,173 ,133 ,113 ,Inverclyde,561,2,-,1,1,2,2,5,5,6,15,21,32,40,51,71,90,80,71,43,23,Inverclyde,583,-,-,1,-,-,-,1,1,5,4,10,16,20,31,43,72,97,102,90,90
Midlothian,819 ,6 ,-,2 ,-,3 ,6 ,5 ,2 ,10 ,11 ,19 ,27 ,37 ,59 ,69 ,123 ,135 ,133 ,112 ,60 ,Midlothian,405,3,-,1,-,3,6,4,2,6,4,14,14,21,41,36,69,70,61,36,14,Midlothian,414,3,-,1,-,-,-,1,-,4,7,5,13,16,18,33,54,65,72,76,46
Moray,880 ,4 ,-,-,1 ,2 ,4 ,5 ,4 ,8 ,12 ,12 ,29 ,32 ,43 ,87 ,128 ,140 ,139 ,126 ,104 ,Moray,425,1,-,-,1,2,3,5,1,6,6,7,19,20,32,53,72,67,68,47,15,Moray,455,3,-,-,-,-,1,-,3,2,6,5,10,12,11,34,56,73,71,79,89
Na h-Eileanan Siar2 ,417 ,3 ,1 ,1 ,-,1 ,5 ,1 ,2 ,2 ,1 ,11 ,14 ,21 ,27 ,42 ,36 ,60 ,57 ,65 ,67 ,Na h-Eileanan Siar2 ,209,2,-,-,-,-,4,1,1,1,-,7,12,15,16,32,20,31,24,22,21,Na h-Eileanan Siar2 ,208,1,1,1,-,1,1,-,1,1,1,4,2,6,11,10,16,29,33,43,46
North Ayrshire,"1,664 ",7 ,2 ,1 ,2 ,5 ,6 ,6 ,8 ,7 ,21 ,36 ,66 ,98 ,110 ,188 ,225 ,250 ,260 ,206 ,160 ,North Ayrshire,811,4,2,-,1,3,4,5,5,5,9,23,46,62,63,106,126,123,118,72,34,North Ayrshire,853,3,-,1,1,2,2,1,3,2,12,13,20,36,47,82,99,127,142,134,126
North Lanarkshire,"3,598 ",26 ,7 ,3 ,4 ,10 ,22 ,26 ,24 ,42 ,53 ,87 ,124 ,168 ,284 ,419 ,554 ,581 ,522 ,396 ,246 ,North Lanarkshire,"1,785",15,5,1,4,9,14,15,18,22,35,46,82,104,167,243,294,293,231,127,60,North Lanarkshire,"1,813",11,2,2,-,1,8,11,6,20,18,41,42,64,117,176,260,288,291,269,186
Orkney Islands,239 ,1 ,-,-,-,1 ,1 ,2 ,4 ,4 ,4 ,6 ,7 ,7 ,10 ,17 ,38 ,39 ,40 ,37 ,21 ,Orkney Islands,121,1,-,-,-,-,1,1,1,3,2,4,4,5,4,10,22,22,16,18,7,Orkney Islands,118,-,-,-,-,1,-,1,3,1,2,2,3,2,6,7,16,17,24,19,14
Perth and Kinross,"1,668 ",7 ,2 ,3 ,-,3 ,2 ,10 ,8 ,14 ,14 ,20 ,42 ,51 ,105 ,144 ,216 ,246 ,304 ,264 ,213 ,Perth and Kinross,800,5,2,1,-,2,2,4,6,4,11,11,22,35,57,85,138,127,151,103,34,Perth and Kinross,868,2,-,2,-,1,-,6,2,10,3,9,20,16,48,59,78,119,153,161,179
Renfrewshire,"2,062 ",11 ,1 ,-,3 ,2 ,14 ,7 ,11 ,24 ,41 ,47 ,72 ,108 ,149 ,216 ,288 ,319 ,315 ,253 ,181 ,Renfrewshire,"1,015",8,-,-,1,2,8,5,7,20,30,34,44,65,95,120,166,165,139,75,31,Renfrewshire,"1,047",3,1,-,2,-,6,2,4,4,11,13,28,43,54,96,122,154,176,178,150
Scottish Borders,"1,370 ",5 ,1 ,1 ,-,3 ,7 ,4 ,8 ,8 ,15 ,17 ,26 ,42 ,70 ,116 ,169 ,220 ,252 ,232 ,174 ,Scottish Borders,630,4,-,1,-,2,6,3,3,5,8,13,18,20,38,68,107,111,111,74,38,Scottish Borders,740,1,1,-,-,1,1,1,5,3,7,4,8,22,32,48,62,109,141,158,136
Shetland Islands,245 ,2 ,-,-,-,1 ,1 ,3 ,2 ,-,6 ,5 ,5 ,15 ,12 ,15 ,25 ,33 ,40 ,39 ,41 ,Shetland Islands,125,1,-,-,-,-,1,3,2,-,3,2,3,13,9,10,19,18,17,13,11,Shetland Islands,120,1,-,-,-,1,-,-,-,-,3,3,2,2,3,5,6,15,23,26,30
South Ayrshire,"1,513 ",5 ,2 ,2 ,-,4 ,6 ,4 ,3 ,8 ,19 ,31 ,42 ,61 ,99 ,136 ,204 ,236 ,282 ,219 ,150 ,South Ayrshire,717,4,1,1,-,2,6,4,3,4,7,17,24,34,59,82,104,125,122,79,39,South Ayrshire,796,1,1,1,-,2,-,-,-,4,12,14,18,27,40,54,100,111,160,140,111
South Lanarkshire,"3,470 ",14 ,1 ,1 ,1 ,5 ,16 ,10 ,15 ,32 ,41 ,67 ,114 ,151 ,239 ,362 ,487 ,582 ,550 ,441 ,341 ,South Lanarkshire,"1,613",9,-,-,1,5,12,8,14,19,24,38,71,97,140,194,257,302,213,133,76,South Lanarkshire,"1,857",5,1,1,-,-,4,2,1,13,17,29,43,54,99,168,230,280,337,308,265
Stirling,924 ,8 ,1 ,-,1 ,-,4 ,5 ,3 ,4 ,8 ,20 ,21 ,40 ,50 ,78 ,116 ,148 ,158 ,141 ,118 ,Stirling,426,3,1,-,1,-,1,5,3,3,7,13,14,23,27,50,67,72,65,49,22,Stirling,498,5,-,-,-,-,3,-,-,1,1,7,7,17,23,28,49,76,93,92,96
West Dunbartonshire,"1,264 ",12 ,1 ,1 ,4 ,5 ,8 ,8 ,19 ,18 ,18 ,22 ,36 ,57 ,72 ,125 ,184 ,211 ,195 ,170 ,98 ,West Dunbartonshire,618,9,1,1,2,2,7,7,19,9,12,12,26,40,50,77,96,96,78,58,16,West Dunbartonshire,646,3,-,-,2,3,1,1,-,9,6,10,10,17,22,48,88,115,117,112,82
West Lothian,"1,448 ",10 ,2 ,2 ,2 ,3 ,8 ,5 ,8 ,20 ,18 ,27 ,53 ,82 ,122 ,156 ,223 ,212 ,214 ,183 ,98 ,West Lothian,712,7,1,1,2,2,6,5,4,12,11,13,30,50,66,92,125,99,98,70,18,West Lothian,736,3,1,1,-,1,2,-,4,8,7,14,23,32,56,64,98,113,116,113,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
