"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,"54,239",207,26,23,32,81,170,208,280,420,745,"1,092","1,519","2,159","2,970","4,475","5,554","7,554","9,144","9,040","8,540",SCOTLAND,"26,289",110,18,16,20,52,113,146,176,291,472,659,890,"1,249","1,750","2,624","3,163","3,924","4,316","3,732","2,568",SCOTLAND,"27,950",97,8,7,12,29,57,62,104,129,273,433,629,910,"1,220","1,851","2,391","3,630","4,828","5,308","5,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City   ,"2,187",15,1,3,1,1,13,13,14,17,39,46,72,83,127,179,197,263,380,389,334,Aberdeen City   ,"1,068",9,-,2,1,1,10,8,11,11,30,27,43,46,77,112,112,136,177,159,96,Aberdeen City   ,"1,119",6,1,1,-,-,3,5,3,6,9,19,29,37,50,67,85,127,203,230,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire  ,"2,295",9,1,1,1,7,3,7,5,19,46,36,38,81,116,191,234,322,387,384,407,Aberdeenshire  ,"1,138",6,-,1,1,3,3,3,3,13,28,18,20,49,68,113,127,183,188,168,143,Aberdeenshire  ,"1,157",3,1,-,-,4,-,4,2,6,18,18,18,32,48,78,107,139,199,216,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus  ,"1,306",4,-,-,-,-,4,2,4,7,12,26,31,41,57,117,122,163,222,243,251,Angus  ,619,1,-,-,-,-,3,2,4,4,6,11,22,23,37,59,62,95,117,97,76,Angus  ,687,3,-,-,-,-,1,-,-,3,6,15,9,18,20,58,60,68,105,146,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute  ,"1,042",1,3,1,-,1,2,5,3,4,8,9,23,36,56,78,101,166,178,186,181,Argyll and Bute  ,516,1,3,1,-,1,1,4,1,2,5,6,12,19,32,50,65,98,86,81,48,Argyll and Bute  ,526,-,-,-,-,-,1,1,2,2,3,3,11,17,24,28,36,68,92,105,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh2,"4,154",16,2,2,4,4,20,13,32,38,62,111,118,171,192,289,315,531,692,739,803,City of Edinburgh2 ,"1,985",8,1,-,2,3,11,10,20,30,39,59,76,109,120,187,191,266,314,279,260,City of Edinburgh2,"2,169",8,1,2,2,1,9,3,12,8,23,52,42,62,72,102,124,265,378,460,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackmannanshire,488,1,-,1,-,1,-,1,4,7,8,10,18,20,25,51,53,63,85,70,70,Clackmannanshire,238,1,-,1,-,-,-,1,2,4,6,7,11,10,18,31,26,33,39,21,27,Clackmannanshire,250,-,-,-,-,1,-,-,2,3,2,3,7,10,7,20,27,30,46,49,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway,"1,883",4,-,-,2,3,6,4,4,9,19,33,40,50,69,164,194,273,326,371,312,Dumfries and Galloway,926,3,-,-,1,1,4,2,3,6,13,16,22,28,44,96,105,141,170,165,106,Dumfries and Galloway,957,1,-,-,1,2,2,2,1,3,6,17,18,22,25,68,89,132,156,206,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
